,transport,traffic,roads,railway,poi,places,landuse,building,city,city_code,longitude,latitude
253,6811.0,661.0,32588.0,2190.0,1265.0,1855.0,5112.0,11523.0,济南市,370100,117.2154615,36.63697278
254,196.0,78.0,10820.0,806.0,123.0,1054.0,2539.0,985.0,济宁市,370800,116.7355628,35.36937488
255,17.0,45.0,9723.0,477.0,57.0,881.0,1373.0,2891.0,聊城市,371500,115.88136999999999,36.45840727
256,207.0,416.0,39889.0,1421.0,356.0,1918.0,9968.0,8992.0,临沂市,371300,118.280571,35.30939882
257,484.0,333.0,33412.0,2096.0,1390.0,1595.0,5350.0,11942.0,青岛市,370200,120.14619109999998,36.44715886
258,14.0,104.0,6928.0,701.0,56.0,89.0,571.0,3400.0,日照市,371100,119.14121019999999,35.57786064
259,273.0,129.0,12313.0,730.0,586.0,1302.0,4392.0,2147.0,泰安市,370900,117.02515120000001,36.00172708
260,374.0,554.0,13615.0,204.0,411.0,261.0,1796.0,33000.0,威海市,371000,121.9956902,37.11742886
261,381.0,649.0,31013.0,1483.0,1188.0,1338.0,12442.0,11227.0,潍坊市,370700,119.0725905,36.55151791
262,62.0,256.0,12353.0,736.0,148.0,262.0,669.0,7627.0,烟台市,370600,120.79982240000001,37.24464008
263,124.0,184.0,10301.0,407.0,93.0,3058.0,1985.0,1240.0,枣庄市,370400,117.39280670000001,34.91610433
264,56.0,48.0,6205.0,1079.0,80.0,110.0,468.0,962.0,淄博市,370300,118.05325719999999,36.60786112
265,112.0,169.0,9158.0,735.0,1079.0,2504.0,1914.0,3204.0,大同市,140200,113.7192757,39.90042929
266,22.0,63.0,8713.0,451.0,59.0,438.0,1105.0,1390.0,晋城市,140500,112.70673700000002,35.61051272
267,91.0,100.0,12537.0,1377.0,226.0,814.0,2545.0,4941.0,晋中市,140700,112.9621265,37.32670067
268,34.0,60.0,7897.0,646.0,33.0,611.0,563.0,509.0,临汾市,141000,111.37667450000001,36.22673115
269,50.0,59.0,8789.0,1206.0,50.0,373.0,873.0,1377.0,吕梁市,141100,111.2626578,37.67870361
270,35.0,63.0,5916.0,469.0,906.0,1054.0,775.0,949.0,朔州市,140600,112.641554,39.61686303
271,212.0,209.0,17295.0,1691.0,464.0,284.0,797.0,4271.0,太原市,140100,112.31548020000001,37.95911563
272,83.0,106.0,10534.0,1315.0,1070.0,982.0,1172.0,1672.0,忻州市,140900,112.40868049999999,38.88214197
273,19.0,15.0,2912.0,458.0,29.0,213.0,286.0,161.0,阳泉市,140300,113.499385,38.06316904
274,40.0,63.0,16973.0,324.0,95.0,2667.0,2485.0,3287.0,运城市,140800,111.0659043,35.18753039
275,56.0,81.0,7780.0,833.0,274.0,820.0,704.0,308.0,长治市,140400,112.915697,36.47603248
276,57.0,50.0,6938.0,1167.0,24.0,1328.0,639.0,833.0,安康市,610900,108.9262447,32.75748098
277,220.0,52.0,17216.0,1472.0,345.0,702.0,2454.0,4641.0,宝鸡市,610300,107.2008116,34.37893087
278,69.0,77.0,14601.0,1171.0,157.0,691.0,1473.0,3234.0,汉中市,610700,107.1030498,33.09051251
279,22.0,49.0,5934.0,625.0,9.0,379.0,545.0,361.0,商洛市,611000,109.9010118,33.64788831
280,23.0,15.0,2392.0,233.0,10.0,100.0,328.0,205.0,铜川市,610200,109.03315549999999,35.1960268
281,94.0,55.0,8517.0,947.0,81.0,472.0,606.0,1261.0,渭南市,610500,109.8513244,34.94933878
282,1838.0,213.0,26263.0,1639.0,2592.0,443.0,3514.0,16579.0,西安市,610100,108.7916033,34.10705846
283,193.0,106.0,10522.0,574.0,156.0,314.0,1114.0,1713.0,咸阳市,610400,108.39017290000001,34.7849521
284,41.0,60.0,11500.0,1095.0,116.0,468.0,1277.0,2959.0,延安市,610600,109.31532790000001,36.43705706
285,164.0,347.0,14997.0,1628.0,1348.0,461.0,1563.0,4021.0,榆林市,610800,109.56597620000001,38.03854295
286,3204.0,1332.0,108559.0,4926.0,9712.0,387.0,12195.0,68944.0,上海市,310000,121.4841515,31.21193692
287,39.0,75.0,8851.0,1e-06,509.0,874.0,3002.0,3468.0,阿坝藏族羌族自治州,513200,102.6092624,32.40023992
288,46.0,144.0,7353.0,146.0,56.0,387.0,872.0,988.0,巴中市,511900,107.0374744,32.01714449
289,927.0,804.0,66302.0,3388.0,2123.0,817.0,8214.0,24375.0,成都市,510100,103.9295936,30.65358578
290,41.0,107.0,10571.0,1418.0,59.0,838.0,7332.0,3497.0,达州市,511700,107.6448077,31.36629677
291,36.0,87.0,9099.0,420.0,75.0,415.0,761.0,991.0,德阳市,510600,104.4348345,31.13004513
292,43.0,54.0,11389.0,1e-06,1308.0,1426.0,3722.0,2547.0,甘孜藏族自治州,513300,99.99732028,30.94882592
293,42.0,105.0,5032.0,233.0,37.0,252.0,5237.0,408.0,广安市,511600,106.6634436,30.42638264
294,160.0,212.0,11101.0,1124.0,75.0,639.0,1617.0,4789.0,广元市,510800,105.78234280000001,32.26219267
295,98.0,136.0,8080.0,486.0,211.0,505.0,1090.0,468.0,乐山市,511100,103.56947690000001,29.21582511
296,117.0,164.0,12751.0,729.0,215.0,1762.0,2921.0,2361.0,凉山彝族自治州,513400,102.0797068,27.88574294
297,168.0,275.0,12011.0,568.0,57.0,576.0,1404.0,649.0,泸州市,510500,105.66622009999999,28.43989127
298,21.0,135.0,7800.0,120.0,34.0,332.0,663.0,489.0,眉山市,511400,103.7521057,29.92686826
299,113.0,282.0,12759.0,449.0,321.0,989.0,2990.0,3730.0,绵阳市,510700,104.7029473,31.84913094
300,99.0,120.0,9685.0,474.0,58.0,578.0,2352.0,1218.0,南充市,511300,106.20373290000002,31.19573387
301,29.0,79.0,3503.0,400.0,4.0,162.0,448.0,708.0,内江市,511000,104.91110079999999,29.64070434
302,34.0,137.0,5778.0,544.0,69.0,215.0,625.0,2471.0,攀枝花市,510400,101.729351,26.80726962
303,29.0,96.0,4352.0,335.0,44.0,448.0,572.0,511.0,遂宁市,510900,105.4717433,30.63173886
304,18.0,80.0,7841.0,102.0,95.0,490.0,1372.0,1576.0,雅安市,511800,102.66268259999998,29.91315483
305,120.0,221.0,9108.0,557.0,206.0,884.0,1398.0,660.0,宜宾市,511500,104.6352507,28.57370624
306,37.0,112.0,5179.0,214.0,62.0,204.0,489.0,1954.0,资阳市,512000,105.1155222,30.10047257
307,227.0,464.0,8915.0,169.0,416.0,253.0,4153.0,7057.0,自贡市,510300,104.6828319,29.28680007
