transport,traffic,roads,railway,poi,places,landuse,building,city,city_code,longitude,latitude
10.0,3.0,1607.0,96.0,3.0,3421.0,49.0,477.0,湛江市,440800,110.16494009999998,21.07534974
1.0,7.0,1433.0,29.0,3.0,1904.0,120.0,52.0,肇庆市,441200,112.20533030000001,23.53770546
137.0,17.0,2930.0,41.0,17.0,398.0,239.0,144.0,中山市,442000,113.39356599999999,22.51990101
460.0,107.0,3394.0,17.0,83.0,244.0,662.0,1516.0,珠海市,440400,113.3622223,22.15191816
7.0,9.0,566.0,133.0,5.0,61.0,70.0,16.0,百色市,451000,106.2877601,23.98527037
12.0,1.0,300.0,19.0,43.0,10.0,4.0,98.0,北海市,450500,109.33768459999999,21.66203636
12.0,2.0,416.0,6.0,5.0,50.0,28.0,1.0,崇左市,451400,107.2738385,22.50297143
2.0,3.0,188.0,1e-06,1e-06,10.0,32.0,1e-06,防城港市,450600,108.0128443,21.87172979
1.0,1e-06,229.0,10.0,1e-06,14.0,4.0,1e-06,贵港市,450800,109.9984528,23.30907478
28.0,6.0,1648.0,83.0,96.0,44.0,94.0,32.0,桂林市,450300,110.51323670000001,25.35528295
2.0,1e-06,160.0,1.0,12.0,24.0,2.0,10.0,河池市,451200,107.84196100000001,24.64294762
1e-06,1.0,124.0,1e-06,1.0,25.0,7.0,1e-06,贺州市,451100,111.3608713,24.35975362
1.0,1.0,189.0,31.0,1e-06,19.0,48.0,1e-06,来宾市,451300,109.4121719,23.85392639
11.0,21.0,1652.0,149.0,14.0,22.0,101.0,299.0,柳州市,450200,109.37084490000001,24.94742713
19.0,3.0,1010.0,190.0,12.0,14.0,27.0,25.0,南宁市,450100,108.4636676,23.05718804
2.0,1e-06,414.0,78.0,1e-06,6.0,27.0,180.0,钦州市,450700,109.01577320000001,22.17366078
1.0,4.0,246.0,124.0,1e-06,20.0,60.0,18.0,梧州市,450400,110.99042890000001,23.48093816
15.0,1e-06,256.0,12.0,1e-06,53.0,5.0,12.0,玉林市,450900,110.18239540000002,22.44219175
5.0,1.0,189.0,13.0,1e-06,9.0,13.0,2.0,安顺市,520400,105.9493348,25.99552444
13.0,2.0,213.0,69.0,1e-06,17.0,11.0,1.0,毕节市,520500,105.21465740000001,27.06746399
5.0,9.0,2043.0,404.0,1.0,16.0,21.0,62.0,贵阳市,520100,106.7069334,26.84251645
23.0,3.0,417.0,240.0,1.0,15.0,69.0,7.0,六盘水市,520200,104.8913314,26.13609994
3.0,1e-06,213.0,12.0,3.0,24.0,3.0,1e-06,黔东南苗族侗族自治州,522600,108.5575013,26.50558057
5.0,1e-06,265.0,28.0,1e-06,20.0,3.0,1e-06,黔南布依族苗族自治州,522700,107.2502757,26.01382412
4.0,2.0,219.0,81.0,4.0,11.0,17.0,1.0,黔西南布依族苗族自治州,522300,105.46418680000001,25.26539889
4.0,1e-06,61.0,35.0,1e-06,28.0,5.0,1e-06,铜仁市,520600,108.5420469,27.97107267
2.0,3.0,571.0,43.0,1e-06,24.0,15.0,16.0,遵义市,520300,107.0853274,28.16883808
1e-06,1e-06,13.0,1e-06,1e-06,1.0,1e-06,1e-06,白沙黎族自治县,469025,109.3476773,19.21145365
1e-06,1e-06,10.0,1e-06,1e-06,1.0,1e-06,1e-06,保亭黎族苗族自治县,469029,109.64661100000001,18.59140998
1e-06,1e-06,83.0,3.0,1e-06,1.0,1e-06,1e-06,昌江黎族自治县,469026,108.9898588,19.22749548
1e-06,1e-06,256.0,7.0,1e-06,1.0,7.0,10.0,澄迈县,469023,109.98614099999999,19.70182656
1e-06,1e-06,416.0,1.0,2.0,15.0,39.0,99.0,儋州市,460400,109.3862008,19.58191678
1e-06,1e-06,119.0,1e-06,1e-06,1.0,4.0,1e-06,定安县,469021,110.3086113,19.48500595
1.0,2.0,345.0,30.0,1.0,2.0,1.0,60.0,东方市,469007,108.81502920000001,18.99781225
60.0,11.0,2159.0,79.0,33.0,33.0,130.0,285.0,海口市,460100,110.4187058,19.85391516
1e-06,11.0,273.0,14.0,1.0,5.0,4.0,4.0,乐东黎族自治县,469027,109.02566270000001,18.64142024
1e-06,1e-06,18.0,2.0,1.0,1.0,1e-06,1e-06,临高县,469024,109.7114152,19.81166656
1.0,1.0,634.0,2.0,3.0,26.0,1.0,4.0,陵水黎族自治县,469028,109.94724950000001,18.55120847
2.0,1e-06,21.0,1e-06,1e-06,2.0,1e-06,1e-06,琼海市,469002,110.4176137,19.21199099
1e-06,1e-06,42.0,1e-06,1e-06,7.0,1e-06,1e-06,琼中黎族苗族自治县,469030,109.8504045,19.03552648
1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,三沙市,460300,113.67490890000002,9.826371128
12.0,9.0,1441.0,48.0,107.0,11.0,20.0,67.0,三亚市,460200,109.41765020000001,18.363836
1e-06,1e-06,1e-06,1e-06,1e-06,1.0,1e-06,1e-06,屯昌县,469022,110.0515501,19.34385258
2.0,6.0,344.0,37.0,1e-06,8.0,4.0,9.0,万宁市,469006,110.32022020000001,18.83201297
3.0,2.0,327.0,20.0,2.0,5.0,8.0,19.0,文昌市,469005,110.7843123,19.7491203
1e-06,1e-06,27.0,1e-06,1e-06,2.0,1.0,1e-06,五指山市,469001,109.50770130000001,18.825706399999998
20.0,2.0,1593.0,146.0,20.0,25.0,36.0,96.0,保定市,130600,115.1711311,39.0215841
9.0,5.0,1120.0,110.0,19.0,17.0,26.0,5.0,沧州市,130900,116.765643,38.26868205
21.0,8.0,1859.0,386.0,326.0,50.0,205.0,19.0,承德市,130800,117.5470245,41.34722488
23.0,8.0,1411.0,181.0,11.0,26.0,79.0,34.0,邯郸市,130400,114.54295060000001,36.55244711
11.0,1e-06,395.0,23.0,3.0,13.0,4.0,1e-06,衡水市,131100,115.8228812,37.76257514
23.0,1.0,967.0,47.0,3.0,16.0,18.0,15.0,廊坊市,131000,116.62820570000001,39.25936970000001
38.0,10.0,2251.0,214.0,506.0,15.0,500.0,3175.0,秦皇岛市,130300,119.18742009999998,40.0852429
16.0,11.0,3248.0,360.0,38.0,71.0,149.0,30.0,石家庄市,130100,114.43949380000001,38.13053735
40.0,9.0,2214.0,254.0,260.0,31.0,100.0,88.0,唐山市,130200,118.33230490000001,39.70886152
6.0,3.0,840.0,58.0,2.0,24.0,28.0,1e-06,邢台市,130500,114.8166568,37.2122495
4.0,10.0,1517.0,130.0,1942.0,45.0,84.0,7.0,张家口市,130700,115.03184180000001,40.86491896
5.0,1e-06,396.0,13.0,13.0,10.0,37.0,1e-06,安阳市,410500,114.35354939999999,35.87703964
3.0,1e-06,167.0,9.0,1e-06,7.0,1.0,1.0,鹤壁市,410600,114.30933,35.72306663
4.0,1e-06,34.0,4.0,1e-06,2.0,2.0,1e-06,济源市,419001,112.3924557,35.09959215
9.0,1.0,378.0,110.0,4.0,15.0,23.0,10.0,焦作市,410800,113.13181270000001,35.11257246
3.0,8.0,471.0,1e-06,3.0,10.0,5.0,1e-06,开封市,410200,114.53538710000001,34.60479893
15.0,13.0,1780.0,109.0,53.0,34.0,56.0,375.0,洛阳市,410300,112.03177,34.29236569
1.0,1e-06,41.0,2.0,1e-06,6.0,1.0,1e-06,漯河市,411100,113.89965430000001,33.655650099999995
10.0,5.0,851.0,170.0,7.0,32.0,22.0,5.0,南阳市,411300,112.2834582,33.04421864
3.0,1.0,350.0,114.0,3.0,13.0,2.0,13.0,平顶山市,410400,113.01094850000001,33.79587441
1.0,1e-06,436.0,37.0,1e-06,6.0,11.0,16.0,濮阳市,410900,115.2816646,35.80874277
4.0,1e-06,143.0,11.0,1e-06,7.0,2.0,1e-06,三门峡市,411200,111.1060472,34.36107505
4.0,2.0,425.0,26.0,1e-06,12.0,2.0,1e-06,商丘市,411400,115.69759779999998,34.2891748
13.0,1.0,492.0,67.0,125.0,29.0,34.0,89.0,新乡市,410700,114.0894418,35.26381432
29.0,26.0,3363.0,149.0,277.0,133.0,226.0,230.0,信阳市,411500,114.8835408,32.08132574
2.0,1e-06,577.0,68.0,1.0,7.0,5.0,5.0,许昌市,411000,113.7096892,34.07234436
10.0,28.0,3684.0,379.0,24.0,17.0,81.0,770.0,郑州市,410100,113.4726362,34.6255035
1.0,2.0,803.0,25.0,1.0,20.0,14.0,1.0,周口市,411600,114.8776668,33.72195465
1.0,25.0,913.0,16.0,8.0,19.0,15.0,38.0,驻马店市,411700,114.1507746,32.92334957
17.0,1e-06,601.0,27.0,4.0,49.0,13.0,1.0,大庆市,230600,124.69979009999999,46.34702605
18.0,1.0,543.0,65.0,2.0,27.0,58.0,89.0,大兴安岭地区,232700,124.20360579999999,52.32603701
76.0,11.0,3397.0,317.0,76.0,63.0,479.0,60.0,哈尔滨市,230100,127.95762739999999,45.63734134
5.0,1e-06,237.0,38.0,1e-06,47.0,34.0,1e-06,鹤岗市,230400,130.8005037,47.63981162
27.0,13.0,1127.0,89.0,9.0,85.0,172.0,40.0,黑河市,231100,126.98607450000002,49.263095899999996
25.0,2.0,2052.0,52.0,7.0,54.0,108.0,70.0,鸡西市,230300,132.285896,45.62897775
27.0,3.0,1145.0,116.0,15.0,76.0,176.0,184.0,佳木斯市,230800,132.18289620000002,47.23461551
44.0,1.0,1330.0,219.0,7.0,81.0,80.0,44.0,牡丹江市,231000,129.88909990000002,44.59628918
7.0,1.0,45.0,9.0,1e-06,7.0,1e-06,1e-06,七台河市,230900,130.9359208,45.87901406
44.0,5.0,644.0,110.0,4.0,46.0,34.0,8.0,齐齐哈尔市,230200,124.54560959999999,47.69965019
9.0,1.0,280.0,39.0,1e-06,10.0,85.0,6.0,双鸭山市,230500,132.6111707,46.71508255
18.0,1e-06,239.0,36.0,1e-06,29.0,41.0,1e-06,绥化市,231200,126.6459385,46.89375533
33.0,1.0,681.0,85.0,1e-06,27.0,30.0,4.0,伊春市,230700,129.2123818,47.81302224
17.0,1e-06,134.0,58.0,1e-06,30.0,6.0,1e-06,鄂州市,420700,114.75423130000001,30.32898334
1e-06,1e-06,91.0,3.0,1.0,26.0,1e-06,1e-06,恩施土家族苗族自治州,422800,109.5494179,30.191518199999997
12.0,17.0,972.0,73.0,17.0,102.0,53.0,51.0,黄冈市,421100,115.33974340000002,30.7160935
3.0,3.0,177.0,78.0,1.0,53.0,48.0,2.0,黄石市,420200,115.02476170000001,29.92757327
3.0,6.0,315.0,47.0,1.0,19.0,8.0,1e-06,荆门市,420800,112.6086664,31.07051949
31.0,10.0,1142.0,35.0,10.0,58.0,60.0,124.0,荆州市,421000,112.56961909999998,29.99684859
1e-06,1e-06,22.0,8.0,1e-06,10.0,1e-06,1e-06,潜江市,429005,112.7567307,30.33911988
1e-06,1e-06,75.0,1e-06,1e-06,8.0,1.0,1e-06,神农架林区,429021,110.47551259999999,31.59150052
5.0,19.0,597.0,134.0,21.0,26.0,16.0,1.0,十堰市,420300,110.4412744,32.45660458
4.0,1e-06,141.0,54.0,2.0,10.0,3.0,2.0,随州市,421300,113.42430209999999,31.82908064
1.0,1e-06,15.0,2.0,1e-06,1.0,1e-06,1e-06,天门市,429006,113.11146880000001,30.645230600000005
1056.0,91.0,11430.0,1359.0,849.0,202.0,1744.0,4139.0,武汉市,420100,114.3428771,30.62404986
1e-06,1e-06,56.0,1e-06,1e-06,1.0,1e-06,1e-06,仙桃市,429004,113.37571940000001,30.28989812
11.0,1e-06,329.0,27.0,1.0,130.0,6.0,3.0,咸宁市,421200,114.1753416,29.62403688
4.0,16.0,1253.0,117.0,4.0,44.0,253.0,9.0,襄阳市,420600,111.9366605,31.93192027
7.0,1.0,645.0,11.0,12.0,23.0,8.0,27.0,孝感市,420900,113.8790061,31.11818753
5.0,11.0,1015.0,83.0,22.0,115.0,61.0,92.0,宜昌市,420500,111.1352804,30.74743374
5.0,7.0,526.0,34.0,3.0,48.0,16.0,3.0,常德市,430700,111.5196482,29.29994992
5.0,4.0,388.0,69.0,6.0,63.0,26.0,1e-06,郴州市,431000,113.13634850000001,25.81447244
16.0,3.0,769.0,72.0,12.0,23.0,7.0,4.0,衡阳市,430400,112.57418600000001,26.79428249
10.0,1.0,255.0,128.0,1e-06,39.0,6.0,1e-06,怀化市,431200,110.07512709999999,27.54817525
3.0,4.0,369.0,56.0,1e-06,16.0,13.0,1e-06,娄底市,431300,111.6131102,27.73901201
4.0,4.0,392.0,23.0,1e-06,46.0,4.0,3.0,邵阳市,430500,110.87446659999999,26.91332644
4.0,2.0,467.0,45.0,22.0,7.0,19.0,155.0,湘潭市,430300,112.6029037,27.73160662
2.0,1.0,230.0,8.0,1e-06,105.0,22.0,1e-06,湘西土家族苗族自治州,433100,109.7270331,28.69487233
1.0,1.0,88.0,18.0,1.0,10.0,1.0,12.0,益阳市,430900,111.9513217,28.57523162
3.0,2.0,366.0,34.0,1e-06,141.0,3.0,6.0,永州市,431100,111.7293638,25.77353031
23.0,3.0,1229.0,132.0,16.0,11.0,69.0,647.0,岳阳市,430600,113.2543192,29.06636126
13.0,1.0,217.0,29.0,13.0,63.0,2.0,5.0,张家界市,430800,110.52663909999998,29.39245758
17.0,4.0,2922.0,155.0,38.0,13.0,29.0,256.0,长沙市,430100,113.15299650000001,28.22714474
13.0,1.0,430.0,53.0,1e-06,34.0,8.0,84.0,株洲市,430200,113.5173744,27.11883783
20.0,6.0,635.0,22.0,1e-06,19.0,64.0,18.0,白城市,220800,123.01180919999999,45.34651468
27.0,1.0,429.0,60.0,1.0,40.0,41.0,16.0,白山市,220600,127.2852846,42.0696094
38.0,11.0,1454.0,333.0,10.0,39.0,85.0,35.0,吉林市,220200,126.8432804,43.57963456
7.0,7.0,467.0,56.0,5.0,12.0,47.0,7.0,辽源市,220400,125.3054884,42.81082408
11.0,1.0,253.0,150.0,4.0,14.0,81.0,9.0,四平市,220300,124.3840929,43.48353182
33.0,1e-06,161.0,9.0,2.0,21.0,23.0,11.0,松原市,220700,124.47682649999999,44.80129882
29.0,9.0,831.0,146.0,11.0,52.0,97.0,171.0,通化市,220500,125.9491578,41.95618238
30.0,7.0,1347.0,124.0,53.0,44.0,110.0,142.0,延边朝鲜族自治州,222400,129.1237276,43.14200003
88.0,60.0,4622.0,371.0,107.0,18.0,427.0,624.0,长春市,220100,125.5838918,44.28310973
6.0,1e-06,2350.0,41.0,14.0,42.0,11.0,4.0,常州市,320400,119.63654240000001,31.62492091
4.0,9.0,1551.0,47.0,7.0,10.0,8.0,10.0,淮安市,320800,118.9648612,33.35176089
2.0,10.0,1338.0,14.0,1e-06,15.0,15.0,14.0,连云港市,320700,119.1397466,34.53595327
1348.0,74.0,7024.0,465.0,567.0,78.0,629.0,1415.0,南京市,320100,118.84276559999999,31.92759114
28.0,8.0,2142.0,69.0,37.0,16.0,12.0,94.0,南通市,320600,121.04436820000001,32.18304405
41.0,7.0,7581.0,24.0,144.0,67.0,97.0,722.0,苏州市,320500,120.65585959999999,31.38349196
2.0,6.0,644.0,33.0,1e-06,22.0,3.0,13.0,宿迁市,321300,118.52019080000001,33.78423854
4.0,13.0,3212.0,42.0,28.0,72.0,64.0,81.0,泰州市,321200,120.0563571,32.57097365
52.0,43.0,8514.0,183.0,123.0,54.0,260.0,445.0,无锡市,320200,120.0756925,31.52400065
7.0,6.0,1149.0,62.0,17.0,14.0,13.0,62.0,徐州市,320300,117.51741329999999,34.35531783
6.0,20.0,3350.0,64.0,1e-06,19.0,17.0,57.0,盐城市,320900,120.19486119999999,33.51415001
6.0,11.0,3432.0,28.0,43.0,83.0,144.0,26.0,扬州市,321000,119.47447199999999,32.73729539
114.0,6.0,1196.0,35.0,357.0,11.0,61.0,95.0,镇江市,321100,119.45292240000002,32.01570779
13.0,3.0,150.0,38.0,1e-06,79.0,17.0,2.0,抚州市,361000,116.43412920000002,27.51015051
12.0,8.0,1020.0,136.0,1.0,214.0,48.0,71.0,赣州市,360700,115.27303549999999,25.7088547
12.0,9.0,610.0,55.0,10.0,96.0,31.0,7.0,吉安市,360800,114.82463940000001,26.97340935
12.0,8.0,394.0,56.0,1e-06,32.0,13.0,23.0,景德镇市,360200,117.2699557,29.30728248
22.0,4.0,550.0,99.0,3.0,46.0,20.0,43.0,九江市,360400,115.4517472,29.32196637
166.0,15.0,4862.0,339.0,159.0,540.0,636.0,649.0,南昌市,360100,116.0185878,28.64979404
5.0,1.0,209.0,51.0,1.0,22.0,6.0,2.0,萍乡市,360300,113.90274209999998,27.51265333
15.0,7.0,1118.0,74.0,9.0,60.0,42.0,51.0,上饶市,361100,117.4721679,28.77294759
6.0,1.0,207.0,39.0,3.0,7.0,2.0,10.0,新余市,360500,114.85222900000001,27.84531515
22.0,8.0,617.0,29.0,1e-06,89.0,11.0,16.0,宜春市,360900,114.9725719,28.30613949
7.0,2.0,190.0,39.0,1.0,31.0,5.0,1e-06,鹰潭市,360600,117.1074392,28.22465069
6.0,2.0,1061.0,143.0,1.0,66.0,19.0,219.0,鞍山市,210300,123.0126017,40.71323795
22.0,1e-06,468.0,75.0,12.0,123.0,17.0,8.0,本溪市,210500,124.56838,41.22883231
28.0,4.0,815.0,98.0,24.0,84.0,18.0,2.0,朝阳市,211300,120.01441709999999,41.51088259
92.0,49.0,5965.0,1066.0,311.0,269.0,405.0,8592.0,大连市,210200,122.1919051,39.58477196
27.0,3.0,1719.0,203.0,21.0,89.0,59.0,126.0,丹东市,210600,124.39739170000001,40.54000529
10.0,1e-06,557.0,31.0,48.0,29.0,1e-06,18.0,抚顺市,210400,124.65589990000001,41.83380977
10.0,8.0,754.0,99.0,26.0,47.0,34.0,47.0,阜新市,210900,121.9551668,42.27925639
24.0,12.0,644.0,186.0,49.0,62.0,29.0,34.0,葫芦岛市,211400,120.2048675,40.61720784
26.0,1e-06,669.0,125.0,84.0,67.0,79.0,7.0,锦州市,210700,121.61242800000001,41.45877975
9.0,1e-06,718.0,44.0,1.0,39.0,12.0,163.0,辽阳市,211000,123.2457009,41.18178354
3.0,1e-06,438.0,21.0,11.0,17.0,14.0,3.0,盘锦市,211100,121.99403159999999,41.06596229
29.0,17.0,5922.0,365.0,364.0,94.0,120.0,333.0,沈阳市,210100,123.1376608,42.09432213
13.0,1.0,448.0,59.0,15.0,70.0,16.0,4.0,铁岭市,211200,124.1706602,42.64387946
4.0,3.0,583.0,26.0,7.0,55.0,16.0,17.0,营口市,210800,122.4511902,40.38894659
4.0,6.0,812.0,376.0,95.0,15.0,39.0,131.0,阿拉善盟,152900,102.44896440000001,40.49706802
15.0,1e-06,1113.0,266.0,6.0,24.0,90.0,50.0,巴彦淖尔市,150800,107.5697088,41.44571973
21.0,3.0,2390.0,380.0,14.0,43.0,109.0,220.0,包头市,150200,110.2604084,41.54929817
61.0,3.0,920.0,193.0,13.0,75.0,80.0,25.0,赤峰市,150400,118.8709506,43.22042011
9.0,9.0,2897.0,368.0,22.0,19.0,99.0,105.0,鄂尔多斯市,150600,108.6284617,39.41184161
9.0,12.0,3119.0,206.0,282.0,43.0,100.0,370.0,呼和浩特市,150100,111.49798940000001,40.59109042
95.0,5.0,3184.0,407.0,52.0,113.0,150.0,1133.0,呼伦贝尔市,150700,121.196017,49.66148768
46.0,6.0,1634.0,140.0,2.0,40.0,66.0,47.0,通辽市,150500,121.56993270000001,43.81587159
4.0,1e-06,227.0,51.0,1e-06,7.0,8.0,1.0,乌海市,150300,106.86970330000001,39.42534191
29.0,5.0,1031.0,222.0,263.0,35.0,53.0,12.0,乌兰察布市,150900,112.44304450000001,41.68253941
17.0,6.0,803.0,237.0,14.0,33.0,69.0,14.0,锡林郭勒盟,152500,115.4835227,44.1929266
27.0,3.0,796.0,63.0,9.0,60.0,85.0,3.0,兴安盟,152200,121.33643719999999,46.22525709
7.0,1e-06,103.0,23.0,1e-06,6.0,1.0,1e-06,固原市,640400,106.18072099999999,35.91474713
3.0,1e-06,421.0,25.0,1e-06,13.0,12.0,1e-06,石嘴山市,640200,106.5124476,39.00628937
6.0,1e-06,783.0,40.0,264.0,16.0,27.0,1e-06,吴忠市,640300,106.52713500000002,37.46237905
5.0,5.0,1535.0,79.0,141.0,20.0,41.0,27.0,银川市,640100,106.34357299999999,38.28572327
16.0,1e-06,545.0,77.0,16.0,11.0,5.0,2.0,中卫市,640500,105.5013166,37.01284548
1e-06,1.0,251.0,1e-06,22.0,20.0,37.0,1e-06,果洛藏族自治州,632600,99.42016633,34.11641147
3.0,1e-06,417.0,34.0,2.0,16.0,61.0,11.0,海北藏族自治州,632200,100.3035137,37.75825597
2.0,7.0,868.0,65.0,2.0,20.0,26.0,15.0,海东市,630200,102.3435064,36.33208032
1e-06,1.0,246.0,1e-06,19.0,34.0,41.0,33.0,海南藏族自治州,632500,100.2567706,35.90029003
22.0,1e-06,779.0,260.0,16.0,30.0,59.0,25.0,海西蒙古族藏族自治州,632800,94.53120673,36.71257669
1e-06,1e-06,92.0,1e-06,2.0,10.0,1.0,40.0,黄南藏族自治州,632300,101.6291753,35.02222884
20.0,14.0,1635.0,130.0,12.0,32.0,166.0,149.0,西宁市,630100,101.4368998,36.82579654
1.0,1e-06,180.0,4.0,11.0,18.0,20.0,1e-06,玉树藏族自治州,632700,94.32138256,34.21110429
1.0,1e-06,435.0,38.0,1e-06,8.0,15.0,1.0,滨州市,371600,117.84117490000001,37.53939145
4.0,1e-06,748.0,22.0,1.0,12.0,7.0,1.0,德州市,371400,116.64721340000001,37.24829922
1e-06,1e-06,654.0,20.0,21.0,8.0,6.0,3.0,东营市,370500,118.63502240000001,37.63988761
