开始城市,结束城市,实际迁徙指数
乌海,鄂尔多斯,29.821944444444448
乌海,阿拉善盟,10.657500000000006
乌鲁木齐,五家渠,47.43138888888889
乌鲁木齐,伊犁哈萨克,12.858611111111113
乌鲁木齐,克拉玛依,6.522500000000003
乌鲁木齐,北屯,0.030555555555555558
乌鲁木齐,博尔塔拉蒙古,3.0033333333333325
乌鲁木齐,吐鲁番,19.650833333333335
乌鲁木齐,和田,1.0302777777777776
乌鲁木齐,哈密,7.526944444444445
乌鲁木齐,喀什,1.8744444444444444
乌鲁木齐,塔城,11.334166666666668
乌鲁木齐,巴音郭楞蒙古,9.968888888888886
乌鲁木齐,昌吉回族,218.76750000000007
乌鲁木齐,石河子,18.918888888888894
乌鲁木齐,阿克苏,3.8822222222222225
乌鲁木齐,阿勒泰,3.713333333333332
乐东黎族自治县,三亚,37.91222222222221
乐东黎族自治县,东方,12.41333333333333
乐东黎族自治县,五指山,0.19277777777777777
乐东黎族自治县,儋州,3.251388888888887
乐东黎族自治县,海口,12.825833333333339
乐山,凉山彝族,4.360555555555555
乐山,宜宾,50.48388888888888
乐山,成都,323.28861111111115
乐山,眉山,203.30666666666673
乐山,自贡,39.086944444444455
乐山,重庆,3.4144444444444444
乐山,雅安,10.240277777777775
九江,上饶,24.975
九江,南昌,179.47694444444446
九江,吉安,9.23361111111111
九江,宜春,29.96555555555555
九江,抚州,8.645277777777782
九江,新余,3.8991666666666673
九江,景德镇,19.943611111111107
九江,萍乡,3.417777777777778
九江,赣州,9.183888888888893
九江,鹰潭,2.3883333333333328
云浮,东莞,33.24805555555555
云浮,中山,15.9375
云浮,佛山,146.34888888888892
云浮,广州,109.33611111111112
云浮,深圳,15.409444444444444
云浮,肇庆,82.66333333333338
云浮,茂名,19.305
云浮,阳江,0.5380555555555555
五家渠,乌鲁木齐,32.56499999999998
五家渠,昌吉回族,14.871666666666666
五指山,三亚,7.951666666666666
五指山,乐东黎族自治县,0.9933333333333333
五指山,保亭黎族苗族自治县,4.1594444444444445
五指山,海口,4.547499999999999
五指山,陵水黎族自治县,0.02055555555555556
亳州,六安,1.4875
亳州,合肥,47.59694444444442
亳州,宿州,33.695277777777775
亳州,淮北,33.50722222222223
亳州,淮南,32.90166666666667
亳州,滁州,3.7911111111111104
亳州,芜湖,0.3133333333333333
亳州,蚌埠,40.87694444444443
亳州,阜阳,140.72944444444448
仙桃,咸宁,0.6138888888888887
仙桃,天门,32.824166666666656
仙桃,孝感,23.474722222222223
仙桃,宜昌,1.9522222222222223
仙桃,恩施土家族苗族,0.3655555555555555
仙桃,武汉,101.75083333333332
仙桃,潜江,22.68944444444443
仙桃,荆州,46.33527777777776
仙桃,荆门,2.8369444444444443
伊春,佳木斯,2.915555555555555
伊春,双鸭山,0.06
伊春,哈尔滨,6.080555555555554
伊春,大庆,0.0763888888888889
伊春,牡丹江,0.02416666666666667
伊春,绥化,5.218333333333334
伊春,鹤岗,2.8780555555555565
伊春,黑河,1.016111111111111
伊春,齐齐哈尔,0.7947222222222222
伊犁哈萨克,乌鲁木齐,8.977222222222228
伊犁哈萨克,克拉玛依,6.467222222222222
伊犁哈萨克,博尔塔拉蒙古,4.436111111111111
伊犁哈萨克,可克达拉,11.838055555555556
伊犁哈萨克,塔城,14.281944444444443
伊犁哈萨克,巴音郭楞蒙古,1.4236111111111116
伊犁哈萨克,昌吉回族,2.0861111111111117
伊犁哈萨克,石河子,2.1100000000000003
伊犁哈萨克,阿克苏,0.07333333333333333
伊犁哈萨克,阿勒泰,0.5527777777777776
佛山,东莞,1367.0691666666662
佛山,中山,2342.897777777777
佛山,云浮,114.33250000000001
佛山,广州,11631.804444444439
佛山,惠州,231.23638888888863
佛山,江门,1832.4300000000003
佛山,深圳,705.7208333333326
佛山,清远,223.7622222222222
佛山,湛江,31.61916666666667
佛山,澳门特别行政区,1.6338888888888885
佛山,珠海,248.4074999999999
佛山,肇庆,1756.2144444444436
佛山,茂名,43.94222222222222
佛山,贵港,4.3075
佛山,阳江,9.013055555555555
佛山,韶关,10.50222222222222
佛山,香港特别行政区,0.17083333333333334
佳木斯,七台河,4.781111111111112
佳木斯,伊春,2.2802777777777776
佳木斯,双鸭山,22.06805555555556
佳木斯,哈尔滨,18.411666666666665
佳木斯,大兴安岭,0.003333333333333334
佳木斯,大庆,0.5952777777777779
佳木斯,牡丹江,1.4363888888888885
佳木斯,绥化,1.5636111111111106
佳木斯,鸡西,2.889722222222222
佳木斯,鹤岗,15.357777777777779
佳木斯,黑河,0.3327777777777779
佳木斯,齐齐哈尔,0.5599999999999999
保亭黎族苗族自治县,三亚,25.94555555555556
保亭黎族苗族自治县,五指山,6.482222222222223
保亭黎族苗族自治县,海口,2.312222222222222
保亭黎族苗族自治县,陵水黎族自治县,7.7075
保定,北京,482.46805555555557
保定,唐山,73.13277777777782
保定,天津,105.2388888888889
保定,廊坊,361.36833333333345
保定,张家口,107.27555555555554
保定,承德,10.419999999999996
保定,沧州,279.05222222222216
保定,石家庄,434.9163888888892
保定,秦皇岛,11.00388888888888
保定,衡水,114.38277777777778
保定,邢台,49.32888888888889
保定,邯郸,52.92111111111112
保山,临沧,8.183611111111112
保山,大理白族,17.30583333333333
保山,德宏傣族景颇族,34.57972222222222
保山,怒江傈僳族,6.155833333333335
保山,昆明,12.661388888888887
保山,西双版纳傣族,0.06861111111111111
信阳,南阳,35.02555555555554
信阳,周口,11.413055555555554
信阳,郑州,39.671388888888885
信阳,驻马店,96.71861111111106
儋州,万宁,4.545833333333335
儋州,三亚,7.911666666666665
儋州,东方,9.5175
儋州,临高县,13.042500000000004
儋州,乐东黎族自治县,2.7897222222222218
儋州,屯昌县,0.3980555555555556
儋州,昌江黎族自治县,11.28805555555556
儋州,海口,42.58666666666665
儋州,澄迈县,9.373333333333335
儋州,琼中黎族苗族自治县,3.573333333333334
儋州,琼海,3.6958333333333337
