from_city_code,real_value
110000,1559.877235420325
120000,1394.802234750073
130100,778.3997367199347
130200,702.864181509943
130300,328.9580718700072
130400,585.3630677799732
130500,693.2839011299288
130600,1030.257513449981
130700,266.7866837200287
130800,219.18140549002493
130900,1082.9513998199889
131000,1265.4050145000776
131100,612.7302904199305
140100,547.9977955599171
140200,196.05084992002017
140300,141.0147378600075
140400,235.58057256002633
140500,139.5058482400039
140600,157.37668258001116
140700,568.5194605199547
140800,254.28223685001868
140900,230.3158493200225
141000,300.35640487001234
141100,255.54696132002735
150100,182.25473792001938
150200,102.46084994000172
150300,52.824456479998254
150400,150.24779381001423
150500,137.4797368500082
150600,227.18834895002266
150700,28.173901470000295
150800,63.668624499996824
150900,147.59501424001039
152200,47.981678409998466
152500,46.38473621999863
152900,57.323344329998605
210100,820.2939048999617
210200,129.59557235001228
210300,279.84585103001916
210400,154.34029075001268
210500,69.67862106999698
210600,55.812234989996234
210700,327.67223793000375
210800,176.8247375000171
210900,151.12529137001027
211000,194.21445771001808
211100,249.7719593300241
211200,241.18223769002432
211300,147.58973723001066
211400,372.4761259800003
220100,444.2144613699689
220200,150.40890356001412
220300,297.2736262500151
220400,51.79528670999824
220500,71.93973352999647
220600,29.140007670000422
220700,212.92001402002046
220800,64.82195646999652
222400,32.53501055000079
230100,310.2352949300123
230200,94.4050136800014
230300,24.416120419999896
230400,16.72639553999941
230500,28.53111961000027
230600,134.00918064001232
230700,16.432228599999554
230800,56.71362271999625
230900,20.152229289999912
231000,41.182789289999064
231100,25.363341550000182
231200,186.21584815001864
232700,2.5111141699999617
310000,1979.0402950503342
320100,1818.5547331702476
320200,2118.0339054702854
320300,907.7908456299398
320400,1399.9280682601056
320500,3046.7564001802293
320600,903.3377926399561
320700,613.7741816399536
320800,931.9814039199646
320900,820.3839056799518
321000,914.7969605399591
321100,890.7722371899654
321200,943.3650164299567
321300,664.6636268399392
330100,2203.0327920602817
330200,804.8769590499479
330300,486.0639032999347
330400,1430.573069060086
330500,1045.2205690100159
330600,1120.3822377100107
330700,935.9686239399682
330800,732.6277894799491
330900,78.32945709999726
331000,479.9766802099696
331100,265.0780684000205
340100,1446.0944540701264
340200,497.3772364499406
340300,482.695570439963
340400,406.288070099978
340500,505.38973764993386
340600,270.66556978001813
340700,250.98251238002578
340800,508.80112313997347
341000,183.56723537002068
341100,1209.0611250500604
341200,597.4647362599525
341300,689.4555703599392
341500,600.9058457899519
341600,546.5602939099674
341700,339.80501136000004
341800,492.0494577799343
350100,382.06556898999236
350200,564.9408471899375
350300,197.7489049100223
350400,243.82862358002188
350500,561.5314022399485
350600,426.7669577499849
350700,263.15334504001737
350800,164.88473663001565
350900,217.51695942002468
360100,658.7347336099492
360200,235.7897341600205
360300,193.86917855001718
360400,554.7008446399609
360500,178.58917932001575
360600,220.77640070001783
360700,820.5116791599743
360800,479.4755671399706
360900,633.1627882099658
361000,548.9627888599756
361100,740.5780659999583
370100,1377.255012050078
370200,722.0247378299313
370300,605.4511279199527
370400,289.5033498700183
370500,301.62612730001587
370600,319.93112826001453
370700,896.6172362499409
370800,762.2822358699423
370900,555.3947376399574
371000,106.18918469000228
371100,405.65473852999617
371300,912.3972360799404
371400,813.9744581999411
371500,673.750568019948
371600,668.6794585299468
371700,706.0977882799527
410100,1394.0069551400852
410200,650.5519565799391
410300,417.5727916899987
410400,420.4030688099925
410500,415.170015480001
410600,189.68335109002302
410700,642.8291796599378
410800,355.1325143800105
410900,382.3277921000053
411000,529.9444574399666
411100,280.4277935800196
411200,287.5158477700128
411300,548.5302850299863
411400,733.9902904999524
411500,474.3041780199757
411600,725.9811217799521
411700,533.2114002099704
419001,99.12084879999875
420100,756.174181780008
420200,196.26668035002737
420300,125.65945839001358
420500,282.02445723001966
420600,287.64667771002246
420700,134.73556938001508
420800,263.80140156002653
420900,353.0105687599443
421000,386.07695667999525
421100,478.933901679926
421200,267.71251207002257
421300,169.04223645001767
422800,237.9602903800232
429004,177.41751518001965
429005,91.6689026199982
429006,110.26362671001317
429021,1.995280480000015
430100,1396.459453150083
430200,643.4158450799508
430300,624.2139007299512
430400,666.6825107399553
430500,528.6116793999532
430600,577.0647322799467
430700,474.9280652999776
430800,110.1152926500047
430900,404.83112484998486
431000,592.9880705699329
431100,503.6889022099449
431200,493.5227893599745
431300,361.01029254999054
433100,332.5863993499955
440100,4979.943337420176
440200,715.9536238699599
440300,3291.8230658502403
440400,562.2583486599309
440500,416.7200135499791
440600,3663.221675690153
440700,1029.24557167999
440800,426.3997344799757
440900,493.77640384995505
441200,1086.7152916600332
441300,2042.4233448802163
441400,341.1505686599918
441500,330.6622357699979
441600,569.5852904399508
441700,466.3544586599455
441800,1184.166956180064
441900,4118.123345860192
442000,1339.0011254100923
442100,0.00500004
445100,258.9164018300214
445200,534.0427910099598
445300,649.9458472499513
450100,701.1602922099445
450200,402.1311251299804
450300,546.1697315599555
450400,418.4955709799716
450500,136.68196222001322
450600,65.88334823999526
450700,212.50584869002302
450800,316.836681679997
450900,319.8089047699976
451000,262.14279284002424
451100,324.45779203999217
451200,217.32529410002607
451300,240.9872375100254
451400,117.04334783000382
460100,265.626687310038
460200,123.86779654001388
460300,0.00944452
460400,55.72751089999729
469001,15.335836469999704
469002,64.98917902999459
469005,48.659732049998276
469006,57.2719555699953
469007,28.909731260000527
469021,38.91611819000006
469022,22.221670580000065
469023,96.27834624000201
469024,28.75945098000062
469025,10.195002739999932
469026,18.76000538999983
469027,47.20000965999879
469028,75.64001253999805
469029,20.10778145999984
469030,23.313614540000117
500000,1404.1825095300564
510100,2011.976123800304
510300,287.0494634700188
510400,58.69751370999571
510500,376.98834838998397
510600,618.1527945199364
510700,474.7608503299675
510800,207.23168326001962
510900,361.1175166399924
511000,361.93251816999083
511100,241.01279664002993
511300,465.99640205996246
511400,541.2966851199342
511500,271.99418411002506
511600,327.0175158799996
511700,344.33751231999275
511800,195.75335109002305
511900,204.9116823600197
512000,348.41724081999496
513200,44.45084190999836
513300,34.89500806000038
513400,115.70001834000692
520100,940.9077919499528
520200,243.22890372002075
520300,624.7611242999496
520400,361.1361236100016
520500,487.4758477699742
520600,368.7811210399924
522300,182.4575140800176
522600,402.83640165998486
522700,667.9369576499533
530100,728.4325136199365
