transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
27.0,139.0,5777.0,138.0,88.0,285.0,577.0,1097.0,340800,安庆市,116.4859918,30.57552958
91.0,58.0,4752.0,351.0,99.0,141.0,983.0,1734.0,340300,蚌埠市,117.3247233,33.10928673
27.0,19.0,5684.0,98.0,6.0,437.0,369.0,271.0,341600,亳州市,116.1802003,33.43557233
16.0,117.0,2687.0,115.0,21.0,296.0,248.0,1027.0,341700,池州市,117.3641746,30.28325848
122.0,124.0,7117.0,336.0,120.0,427.0,1423.0,3721.0,341100,滁州市,118.1023333,32.54422643
245.0,62.0,18169.0,853.0,192.0,1143.0,1443.0,7706.0,341200,阜阳市,115.704106,32.91708517
1203.0,418.0,24091.0,1436.0,488.0,1838.0,10371.0,6750.0,340100,合肥市,117.3550905,31.76262308
53.0,1.0,1932.0,257.0,24.0,71.0,179.0,177.0,340600,淮北市,116.7432627,33.72839774
456.0,55.0,7573.0,367.0,127.0,558.0,1243.0,1682.0,340400,淮南市,116.7680215,32.47255328
97.0,71.0,12781.0,334.0,772.0,3714.0,5432.0,6643.0,341000,黄山市,118.0709463,29.90653054
32.0,65.0,9041.0,308.0,100.0,1195.0,1265.0,867.0,341500,六安市,116.2287615,31.6589212
155.0,185.0,7089.0,510.0,157.0,1487.0,3967.0,4423.0,340500,马鞍山市,118.3652036,31.63860487
52.0,32.0,3759.0,388.0,70.0,175.0,332.0,1829.0,341300,宿州市,117.2100079,33.85954517
46.0,82.0,1754.0,202.0,104.0,139.0,321.0,930.0,340700,铜陵市,117.5556273,30.88462337
122.0,309.0,7014.0,351.0,71.0,506.0,1096.0,1070.0,340200,芜湖市,118.1348385,31.16236504
26.0,100.0,6372.0,565.0,97.0,988.0,892.0,1293.0,341800,宣城市,118.8517787,30.68569806
685.0,177.0,10682.0,45.0,1675.0,61.0,1169.0,11107.0,820000,澳门特别行政区,113.5621671,22.16290883
7457.0,2477.0,120351.0,7966.0,14156.0,5567.0,19892.0,81471.0,110000,北京市,116.4126385,40.18563339
511.0,466.0,52587.0,1681.0,1470.0,2074.0,3887.0,22685.0,350100,福州市,119.2020247,26.04786074
165.0,100.0,9131.0,1084.0,183.0,444.0,834.0,1413.0,350800,龙岩市,116.7389397,25.29315682
89.0,127.0,11433.0,1781.0,253.0,1004.0,2285.0,689.0,350700,南平市,118.1420958,27.33944484
215.0,244.0,17968.0,530.0,450.0,1389.0,1699.0,689.0,350900,宁德市,119.4905083,26.97080303
60.0,107.0,7497.0,129.0,109.0,227.0,1068.0,260.0,350300,莆田市,118.9011022,25.44334621
94.0,198.0,15650.0,775.0,798.0,919.0,1297.0,1484.0,350500,泉州市,118.2648574,25.19265575
138.0,91.0,11011.0,1003.0,113.0,525.0,899.0,2220.0,350400,三明市,117.3958118,26.29945447
643.0,238.0,14481.0,552.0,1179.0,123.0,1317.0,5974.0,350200,厦门市,118.1203398,24.66184087
38.0,185.0,19843.0,477.0,250.0,894.0,1147.0,1055.0,350600,漳州市,117.4538756,24.33173139
178.0,92.0,10300.0,396.0,152.0,1292.0,2950.0,4523.0,620400,白银市,104.6216216,36.61350215
53.0,74.0,14013.0,478.0,233.0,1834.0,3891.0,4546.0,621100,定西市,104.4529881,35.11963209
8.0,21.0,4325.0,1e-06,218.0,1012.0,752.0,2136.0,623000,甘南藏族自治州,102.7645258,34.32153236
19.0,27.0,1199.0,752.0,263.0,6.0,263.0,277.0,620200,嘉峪关市,98.21052423,39.82837139
4.0,12.0,1823.0,388.0,98.0,101.0,533.0,198.0,620300,金昌市,102.0434659,38.43220687
