transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
7.0,20.0,2155.0,71.0,18.0,140.0,139.0,619.0,340800,安庆市,116.4859918,30.57552958
12.0,14.0,1419.0,192.0,51.0,25.0,137.0,357.0,340300,蚌埠市,117.3247233,33.10928673
2.0,1e-06,138.0,5.0,1e-06,42.0,3.0,10.0,341600,亳州市,116.1802003,33.43557233
3.0,11.0,648.0,27.0,9.0,94.0,13.0,12.0,341700,池州市,117.3641746,30.28325848
11.0,6.0,2191.0,96.0,55.0,66.0,214.0,3038.0,341100,滁州市,118.1023333,32.54422643
10.0,3.0,1585.0,173.0,27.0,358.0,120.0,117.0,341200,阜阳市,115.704106,32.91708517
277.0,94.0,9383.0,399.0,206.0,604.0,837.0,1487.0,340100,合肥市,117.3550905,31.76262308
7.0,1e-06,233.0,102.0,1e-06,8.0,9.0,9.0,340600,淮北市,116.7432627,33.72839774
5.0,2.0,813.0,39.0,1e-06,20.0,23.0,10.0,340400,淮南市,116.7680215,32.47255328
12.0,5.0,1697.0,61.0,148.0,395.0,33.0,219.0,341000,黄山市,118.0709463,29.90653054
7.0,6.0,1921.0,80.0,29.0,99.0,70.0,123.0,341500,六安市,116.2287615,31.6589212
11.0,8.0,2048.0,81.0,29.0,301.0,273.0,446.0,340500,马鞍山市,118.3652036,31.63860487
8.0,3.0,1029.0,47.0,12.0,33.0,41.0,585.0,341300,宿州市,117.2100079,33.85954517
23.0,1e-06,367.0,14.0,47.0,17.0,34.0,723.0,340700,铜陵市,117.5556273,30.88462337
20.0,63.0,1892.0,104.0,28.0,89.0,46.0,302.0,340200,芜湖市,118.1348385,31.16236504
11.0,13.0,1746.0,201.0,15.0,99.0,31.0,34.0,341800,宣城市,118.8517787,30.68569806
465.0,57.0,4826.0,1e-06,275.0,34.0,512.0,2631.0,820000,澳门特别行政区,113.5621671,22.16290883
5260.0,753.0,50597.0,4862.0,6026.0,499.0,2158.0,23099.0,110000,北京市,116.4126385,40.18563339
40.0,60.0,7347.0,201.0,253.0,814.0,337.0,621.0,350100,福州市,119.2020247,26.04786074
19.0,13.0,1953.0,225.0,12.0,116.0,64.0,58.0,350800,龙岩市,116.7389397,25.29315682
20.0,11.0,1845.0,132.0,38.0,296.0,118.0,154.0,350700,南平市,118.1420958,27.33944484
6.0,17.0,2490.0,71.0,240.0,490.0,207.0,105.0,350900,宁德市,119.4905083,26.97080303
8.0,5.0,938.0,44.0,17.0,139.0,13.0,27.0,350300,莆田市,118.9011022,25.44334621
15.0,44.0,4164.0,371.0,43.0,515.0,100.0,106.0,350500,泉州市,118.2648574,25.19265575
15.0,3.0,1849.0,141.0,18.0,98.0,49.0,41.0,350400,三明市,117.3958118,26.29945447
221.0,58.0,6428.0,188.0,288.0,61.0,241.0,834.0,350200,厦门市,118.1203398,24.66184087
13.0,23.0,3080.0,215.0,23.0,674.0,140.0,562.0,350600,漳州市,117.4538756,24.33173139
18.0,2.0,768.0,169.0,6.0,38.0,19.0,211.0,620400,白银市,104.6216216,36.61350215
8.0,12.0,1618.0,157.0,19.0,349.0,151.0,90.0,621100,定西市,104.4529881,35.11963209
1e-06,8.0,984.0,1e-06,43.0,773.0,152.0,127.0,623000,甘南藏族自治州,102.7645258,34.32153236
6.0,6.0,685.0,703.0,76.0,1.0,61.0,28.0,620200,嘉峪关市,98.21052423,39.82837139
1e-06,5.0,528.0,85.0,12.0,5.0,12.0,145.0,620300,金昌市,102.0434659,38.43220687
25.0,21.0,3295.0,457.0,145.0,49.0,348.0,700.0,620900,酒泉市,96.05604704,40.26035992
40.0,14.0,2560.0,612.0,26.0,59.0,104.0,581.0,620100,兰州市,103.6380054,36.35519362
3.0,6.0,591.0,39.0,15.0,32.0,40.0,262.0,622900,临夏回族自治州,103.2873444,35.62419073
9.0,1.0,1366.0,186.0,2.0,1345.0,148.0,79.0,621200,陇南市,105.2219039,33.59690725
