transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
10.0,24.0,2891.0,74.0,54.0,189.0,371.0,707.0,340800,安庆市,116.4859918,30.57552958
27.0,24.0,2633.0,195.0,72.0,107.0,594.0,717.0,340300,蚌埠市,117.3247233,33.10928673
4.0,5.0,1823.0,19.0,1e-06,382.0,26.0,13.0,341600,亳州市,116.1802003,33.43557233
6.0,12.0,1465.0,93.0,14.0,166.0,116.0,35.0,341700,池州市,117.3641746,30.28325848
107.0,94.0,4648.0,118.0,119.0,365.0,589.0,3451.0,341100,滁州市,118.1023333,32.54422643
99.0,7.0,4535.0,218.0,115.0,512.0,667.0,2647.0,341200,阜阳市,115.704106,32.91708517
1210.0,158.0,15127.0,423.0,342.0,1540.0,2670.0,5267.0,340100,合肥市,117.3550905,31.76262308
25.0,1.0,1235.0,120.0,12.0,58.0,52.0,26.0,340600,淮北市,116.7432627,33.72839774
382.0,26.0,4899.0,218.0,137.0,492.0,1150.0,1155.0,340400,淮南市,116.7680215,32.47255328
34.0,12.0,3441.0,76.0,496.0,875.0,62.0,235.0,341000,黄山市,118.0709463,29.90653054
19.0,24.0,3521.0,125.0,30.0,750.0,433.0,406.0,341500,六安市,116.2287615,31.6589212
12.0,28.0,3205.0,102.0,53.0,332.0,521.0,1225.0,340500,马鞍山市,118.3652036,31.63860487
6.0,15.0,2120.0,235.0,68.0,98.0,80.0,1612.0,341300,宿州市,117.2100079,33.85954517
29.0,2.0,1109.0,59.0,52.0,118.0,168.0,766.0,340700,铜陵市,117.5556273,30.88462337
113.0,70.0,4011.0,167.0,137.0,170.0,339.0,496.0,340200,芜湖市,118.1348385,31.16236504
6.0,37.0,3307.0,246.0,20.0,270.0,117.0,1082.0,341800,宣城市,118.8517787,30.68569806
484.0,89.0,6729.0,36.0,1043.0,35.0,809.0,4104.0,820000,澳门特别行政区,113.5621671,22.16290883
5727.0,1007.0,62542.0,5288.0,8759.0,766.0,3615.0,47905.0,110000,北京市,116.4126385,40.18563339
209.0,149.0,12668.0,348.0,621.0,1567.0,1586.0,1204.0,350100,福州市,119.2020247,26.04786074
74.0,33.0,3663.0,399.0,80.0,192.0,150.0,908.0,350800,龙岩市,116.7389397,25.29315682
48.0,17.0,3352.0,339.0,54.0,595.0,484.0,278.0,350700,南平市,118.1420958,27.33944484
7.0,37.0,3906.0,110.0,296.0,1015.0,257.0,174.0,350900,宁德市,119.4905083,26.97080303
55.0,30.0,2755.0,75.0,125.0,182.0,1020.0,126.0,350300,莆田市,118.9011022,25.44334621
22.0,60.0,7346.0,415.0,281.0,602.0,598.0,190.0,350500,泉州市,118.2648574,25.19265575
21.0,13.0,3466.0,215.0,39.0,277.0,176.0,69.0,350400,三明市,117.3958118,26.29945447
465.0,97.0,8597.0,198.0,721.0,63.0,787.0,1893.0,350200,厦门市,118.1203398,24.66184087
22.0,27.0,4216.0,241.0,43.0,684.0,195.0,656.0,350600,漳州市,117.4538756,24.33173139
48.0,36.0,3615.0,268.0,146.0,1023.0,1550.0,1210.0,620400,白银市,104.6216216,36.61350215
23.0,66.0,5706.0,302.0,229.0,1162.0,2338.0,1018.0,621100,定西市,104.4529881,35.11963209
10.0,13.0,2014.0,1e-06,141.0,927.0,341.0,489.0,623000,甘南藏族自治州,102.7645258,34.32153236
6.0,8.0,750.0,703.0,105.0,1.0,80.0,52.0,620200,嘉峪关市,98.21052423,39.82837139
1e-06,7.0,683.0,355.0,14.0,6.0,42.0,149.0,620300,金昌市,102.0434659,38.43220687
39.0,31.0,3873.0,489.0,217.0,118.0,523.0,1422.0,620900,酒泉市,96.05604704,40.26035992
1133.0,135.0,14631.0,1781.0,1198.0,630.0,3806.0,17593.0,620100,兰州市,103.6380054,36.35519362
21.0,22.0,3092.0,62.0,124.0,572.0,793.0,1384.0,622900,临夏回族自治州,103.2873444,35.62419073
10.0,16.0,3637.0,211.0,39.0,2620.0,2776.0,484.0,621200,陇南市,105.2219039,33.59690725
15.0,24.0,2559.0,332.0,94.0,741.0,632.0,607.0,620800,平凉市,106.6479524,35.30587369
1.0,7.0,2246.0,8.0,65.0,376.0,223.0,43.0,621000,庆阳市,107.5905094,36.16249081
555.0,38.0,9256.0,749.0,425.0,1344.0,4591.0,2542.0,620500,天水市,105.7377839,34.64732994
14.0,7.0,1598.0,296.0,33.0,184.0,204.0,333.0,620600,武威市,103.0572447,38.17552027
18.0,26.0,2040.0,262.0,132.0,134.0,236.0,220.0,620700,张掖市,99.82270207,38.9557895
15.0,52.0,5025.0,39.0,248.0,848.0,566.0,1133.0,445100,潮州市,116.7855457,23.78554642
71.0,76.0,13642.0,356.0,145.0,585.0,710.0,1190.0,441900,东莞市,113.874986,22.9345278
407.0,45.0,19908.0,543.0,285.0,908.0,1409.0,1126.0,440600,佛山市,112.944453,23.00652761
7802.0,323.0,47943.0,2136.0,1941.0,508.0,2691.0,12954.0,440100,广州市,113.5390412,23.33085285
7.0,36.0,2510.0,553.0,8.0,1548.0,72.0,62.0,441600,河源市,114.9578225,24.04461582
14.0,87.0,6176.0,150.0,76.0,1375.0,226.0,1146.0,441300,惠州市,114.5027026,23.23510341
687.0,138.0,12297.0,54.0,700.0,2609.0,724.0,979.0,440700,江门市,112.6725521,22.26739023
3.0,25.0,2515.0,68.0,27.0,1475.0,215.0,922.0,445200,揭阳市,116.1197969,23.33613639
11.0,25.0,3729.0,224.0,38.0,2569.0,233.0,124.0,440900,茂名市,110.9534848,22.01009072
16.0,35.0,3823.0,238.0,13.0,2385.0,57.0,96.0,441400,梅州市,116.0794106,24.20307298
384.0,83.0,9051.0,320.0,245.0,1916.0,1647.0,860.0,441800,清远市,112.8749874,24.31430554
15.0,46.0,3219.0,50.0,82.0,599.0,332.0,1289.0,440500,汕头市,116.5955695,23.33031228
3.0,26.0,1389.0,69.0,9.0,920.0,85.0,122.0,441500,汕尾市,115.5889047,22.875304
20.0,51.0,2314.0,268.0,51.0,1518.0,154.0,92.0,440200,韶关市,113.7745134,24.82036632
838.0,398.0,27830.0,763.0,1368.0,238.0,1821.0,9810.0,440300,深圳市,114.1371684,22.64531697
10.0,50.0,2418.0,50.0,29.0,1312.0,105.0,81.0,441700,阳江市,111.7745686,22.02781209
8.0,15.0,2527.0,199.0,221.0,1194.0,361.0,1670.0,445300,云浮市,111.7936589,22.81603286
22.0,71.0,5522.0,184.0,38.0,3482.0,245.0,1058.0,440800,湛江市,110.1649401,21.07534974
52.0,28.0,4044.0,208.0,45.0,2006.0,306.0,172.0,441200,肇庆市,112.2053303,23.53770546
392.0,34.0,9833.0,43.0,160.0,622.0,691.0,11142.0,442000,中山市,113.393566,22.51990101
2725.0,124.0,7722.0,35.0,319.0,266.0,920.0,2010.0,440400,珠海市,113.3622223,22.15191816
43.0,60.0,3865.0,361.0,11.0,1439.0,1221.0,183.0,451000,百色市,106.2877601,23.98527037
14.0,13.0,1525.0,59.0,66.0,61.0,116.0,456.0,450500,北海市,109.3376846,21.66203636
13.0,14.0,1469.0,20.0,14.0,239.0,281.0,25.0,451400,崇左市,107.2738385,22.50297143
7.0,25.0,1326.0,92.0,13.0,62.0,149.0,101.0,450600,防城港市,108.0128443,21.87172979
4.0,43.0,1514.0,74.0,7.0,642.0,441.0,60.0,450800,贵港市,109.9984528,23.30907478
316.0,146.0,10138.0,351.0,658.0,1494.0,1713.0,1117.0,450300,桂林市,110.5132367,25.35528295
4.0,43.0,3522.0,191.0,22.0,842.0,1007.0,151.0,451200,河池市,107.841961,24.64294762
3.0,8.0,743.0,12.0,28.0,83.0,127.0,32.0,451100,贺州市,111.3608713,24.35975362
