transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
5.0,5.0,675.0,47.0,2.0,52.0,83.0,166.0,340800,安庆市,116.4859918,30.57552958
9.0,11.0,823.0,125.0,18.0,19.0,68.0,110.0,340300,蚌埠市,117.3247233,33.10928673
1.0,1e-06,20.0,5.0,1e-06,12.0,3.0,1e-06,341600,亳州市,116.1802003,33.43557233
2.0,2.0,206.0,15.0,1e-06,16.0,3.0,1e-06,341700,池州市,117.3641746,30.28325848
4.0,5.0,482.0,34.0,1.0,25.0,23.0,26.0,341100,滁州市,118.1023333,32.54422643
8.0,3.0,589.0,20.0,22.0,314.0,64.0,84.0,341200,阜阳市,115.704106,32.91708517
12.0,11.0,1728.0,169.0,22.0,28.0,95.0,36.0,340100,合肥市,117.3550905,31.76262308
2.0,1e-06,169.0,54.0,1e-06,5.0,9.0,3.0,340600,淮北市,116.7432627,33.72839774
2.0,1e-06,180.0,27.0,1e-06,14.0,14.0,7.0,340400,淮南市,116.7680215,32.47255328
13.0,4.0,1052.0,58.0,138.0,297.0,52.0,50.0,341000,黄山市,118.0709463,29.90653054
5.0,4.0,519.0,26.0,1.0,72.0,13.0,92.0,341500,六安市,116.2287615,31.6589212
8.0,1.0,657.0,14.0,7.0,273.0,89.0,2.0,340500,马鞍山市,118.3652036,31.63860487
1.0,1e-06,217.0,2.0,1e-06,6.0,1.0,1e-06,341300,宿州市,117.2100079,33.85954517
2.0,1e-06,82.0,4.0,1e-06,13.0,5.0,1e-06,340700,铜陵市,117.5556273,30.88462337
6.0,16.0,708.0,61.0,1e-06,51.0,19.0,76.0,340200,芜湖市,118.1348385,31.16236504
12.0,5.0,477.0,113.0,7.0,48.0,15.0,3.0,341800,宣城市,118.8517787,30.68569806
426.0,15.0,2141.0,1e-06,31.0,6.0,160.0,1203.0,820000,澳门特别行政区,113.5621671,22.16290883
5086.0,588.0,41917.0,3560.0,3936.0,400.0,1238.0,8972.0,110000,北京市,116.4126385,40.18563339
17.0,25.0,2195.0,102.0,101.0,102.0,118.0,66.0,350100,福州市,119.2020247,26.04786074
7.0,13.0,1126.0,194.0,3.0,103.0,58.0,37.0,350800,龙岩市,116.7389397,25.29315682
13.0,1e-06,637.0,71.0,3.0,43.0,13.0,7.0,350700,南平市,118.1420958,27.33944484
4.0,10.0,1420.0,71.0,1.0,129.0,117.0,20.0,350900,宁德市,119.4905083,26.97080303
4.0,3.0,398.0,35.0,7.0,69.0,9.0,18.0,350300,莆田市,118.9011022,25.44334621
13.0,19.0,2223.0,248.0,90.0,178.0,65.0,88.0,350500,泉州市,118.2648574,25.19265575
14.0,3.0,1339.0,116.0,14.0,91.0,32.0,19.0,350400,三明市,117.3958118,26.29945447
99.0,49.0,5099.0,142.0,139.0,54.0,194.0,640.0,350200,厦门市,118.1203398,24.66184087
8.0,9.0,1325.0,150.0,17.0,116.0,60.0,65.0,350600,漳州市,117.4538756,24.33173139
14.0,2.0,500.0,145.0,1.0,14.0,19.0,29.0,620400,白银市,104.6216216,36.61350215
1e-06,1e-06,840.0,24.0,2.0,190.0,128.0,31.0,621100,定西市,104.4529881,35.11963209
1e-06,1.0,231.0,1e-06,7.0,526.0,27.0,4.0,623000,甘南藏族自治州,102.7645258,34.32153236
1.0,4.0,542.0,31.0,68.0,1.0,57.0,1e-06,620200,嘉峪关市,98.21052423,39.82837139
1e-06,3.0,309.0,1.0,1e-06,3.0,7.0,1e-06,620300,金昌市,102.0434659,38.43220687
14.0,9.0,2496.0,129.0,75.0,32.0,300.0,96.0,620900,酒泉市,96.05604704,40.26035992
28.0,2.0,1913.0,126.0,14.0,14.0,77.0,143.0,620100,兰州市,103.6380054,36.35519362
2.0,2.0,233.0,2.0,4.0,17.0,15.0,1.0,622900,临夏回族自治州,103.2873444,35.62419073
5.0,1.0,291.0,65.0,1e-06,518.0,66.0,45.0,621200,陇南市,105.2219039,33.59690725
7.0,1.0,406.0,166.0,8.0,10.0,48.0,1e-06,620800,平凉市,106.6479524,35.30587369
1e-06,1.0,215.0,1e-06,4.0,16.0,12.0,1e-06,621000,庆阳市,107.5905094,36.16249081
2.0,1e-06,805.0,145.0,1.0,42.0,59.0,4.0,620500,天水市,105.7377839,34.64732994
9.0,3.0,647.0,61.0,9.0,12.0,63.0,2.0,620600,武威市,103.0572447,38.17552027
1.0,5.0,623.0,46.0,16.0,13.0,70.0,3.0,620700,张掖市,99.82270207,38.9557895
5.0,5.0,814.0,31.0,59.0,786.0,227.0,382.0,445100,潮州市,116.7855457,23.78554642
20.0,5.0,1655.0,27.0,42.0,572.0,19.0,31.0,441900,东莞市,113.874986,22.9345278
26.0,6.0,9664.0,82.0,35.0,884.0,747.0,151.0,440600,佛山市,112.944453,23.00652761
306.0,35.0,8945.0,299.0,242.0,66.0,229.0,707.0,440100,广州市,113.5390412,23.33085285
3.0,6.0,871.0,397.0,3.0,1511.0,10.0,9.0,441600,河源市,114.9578225,24.04461582
3.0,27.0,2015.0,94.0,4.0,1299.0,36.0,336.0,441300,惠州市,114.5027026,23.23510341
35.0,45.0,6416.0,28.0,215.0,2252.0,119.0,492.0,440700,江门市,112.6725521,22.26739023
1.0,6.0,521.0,68.0,3.0,1470.0,36.0,2.0,445200,揭阳市,116.1197969,23.33613639
2.0,6.0,353.0,7.0,4.0,2495.0,26.0,34.0,440900,茂名市,110.9534848,22.01009072
7.0,11.0,848.0,131.0,2.0,2340.0,7.0,15.0,441400,梅州市,116.0794106,24.20307298
3.0,15.0,2259.0,73.0,5.0,1642.0,19.0,24.0,441800,清远市,112.8749874,24.31430554
4.0,2.0,735.0,28.0,32.0,572.0,22.0,14.0,440500,汕头市,116.5955695,23.33031228
1e-06,12.0,490.0,47.0,1e-06,917.0,50.0,1e-06,441500,汕尾市,115.5889047,22.875304
11.0,3.0,781.0,58.0,7.0,1485.0,15.0,4.0,440200,韶关市,113.7745134,24.82036632
247.0,130.0,11379.0,314.0,288.0,214.0,405.0,1537.0,440300,深圳市,114.1371684,22.64531697
3.0,7.0,544.0,44.0,1.0,1266.0,15.0,2.0,441700,阳江市,111.7745686,22.02781209
3.0,6.0,372.0,24.0,6.0,1048.0,5.0,1.0,445300,云浮市,111.7936589,22.81603286
10.0,3.0,1607.0,96.0,3.0,3421.0,49.0,477.0,440800,湛江市,110.1649401,21.07534974
1.0,7.0,1433.0,29.0,3.0,1904.0,120.0,52.0,441200,肇庆市,112.2053303,23.53770546
137.0,17.0,2930.0,41.0,17.0,398.0,239.0,144.0,442000,中山市,113.393566,22.51990101
460.0,107.0,3394.0,17.0,83.0,244.0,662.0,1516.0,440400,珠海市,113.3622223,22.15191816
7.0,9.0,566.0,133.0,5.0,61.0,70.0,16.0,451000,百色市,106.2877601,23.98527037
12.0,1.0,300.0,19.0,43.0,10.0,4.0,98.0,450500,北海市,109.3376846,21.66203636
12.0,2.0,416.0,6.0,5.0,50.0,28.0,1.0,451400,崇左市,107.2738385,22.50297143
2.0,3.0,188.0,1e-06,1e-06,10.0,32.0,1e-06,450600,防城港市,108.0128443,21.87172979
1.0,1e-06,229.0,10.0,1e-06,14.0,4.0,1e-06,450800,贵港市,109.9984528,23.30907478
28.0,6.0,1648.0,83.0,96.0,44.0,94.0,32.0,450300,桂林市,110.5132367,25.35528295
2.0,1e-06,160.0,1.0,12.0,24.0,2.0,10.0,451200,河池市,107.841961,24.64294762
1e-06,1.0,124.0,1e-06,1.0,25.0,7.0,1e-06,451100,贺州市,111.3608713,24.35975362
1.0,1.0,189.0,31.0,1e-06,19.0,48.0,1e-06,451300,来宾市,109.4121719,23.85392639
11.0,21.0,1652.0,149.0,14.0,22.0,101.0,299.0,450200,柳州市,109.3708449,24.94742713
19.0,3.0,1010.0,190.0,12.0,14.0,27.0,25.0,450100,南宁市,108.4636676,23.05718804
2.0,1e-06,414.0,78.0,1e-06,6.0,27.0,180.0,450700,钦州市,109.0157732,22.17366078
1.0,4.0,246.0,124.0,1e-06,20.0,60.0,18.0,450400,梧州市,110.9904289,23.48093816
15.0,1e-06,256.0,12.0,1e-06,53.0,5.0,12.0,450900,玉林市,110.1823954,22.44219175
5.0,1.0,189.0,13.0,1e-06,9.0,13.0,2.0,520400,安顺市,105.9493348,25.99552444
13.0,2.0,213.0,69.0,1e-06,17.0,11.0,1.0,520500,毕节市,105.2146574,27.06746399
5.0,9.0,2043.0,404.0,1.0,16.0,21.0,62.0,520100,贵阳市,106.7069334,26.84251645
23.0,3.0,417.0,240.0,1.0,15.0,69.0,7.0,520200,六盘水市,104.8913314,26.13609994
3.0,1e-06,213.0,12.0,3.0,24.0,3.0,1e-06,522600,黔东南苗族侗族自治州,108.5575013,26.50558057
5.0,1e-06,265.0,28.0,1e-06,20.0,3.0,1e-06,522700,黔南布依族苗族自治州,107.2502757,26.01382412
4.0,2.0,219.0,81.0,4.0,11.0,17.0,1.0,522300,黔西南布依族苗族自治州,105.4641868,25.26539889
4.0,1e-06,61.0,35.0,1e-06,28.0,5.0,1e-06,520600,铜仁市,108.5420469,27.97107267
2.0,3.0,571.0,43.0,1e-06,24.0,15.0,16.0,520300,遵义市,107.0853274,28.16883808
1e-06,1e-06,13.0,1e-06,1e-06,1.0,1e-06,1e-06,469025,白沙黎族自治县,109.3476773,19.21145365
1e-06,1e-06,10.0,1e-06,1e-06,1.0,1e-06,1e-06,469029,保亭黎族苗族自治县,109.646611,18.59140998
1e-06,1e-06,83.0,3.0,1e-06,1.0,1e-06,1e-06,469026,昌江黎族自治县,108.9898588,19.22749548
1e-06,1e-06,256.0,7.0,1e-06,1.0,7.0,10.0,469023,澄迈县,109.986141,19.70182656
1e-06,1e-06,416.0,1.0,2.0,15.0,39.0,99.0,460400,儋州市,109.3862008,19.58191678
1e-06,1e-06,119.0,1e-06,1e-06,1.0,4.0,1e-06,469021,定安县,110.3086113,19.48500595
1.0,2.0,345.0,30.0,1.0,2.0,1.0,60.0,469007,东方市,108.8150292,18.99781225
60.0,11.0,2159.0,79.0,33.0,33.0,130.0,285.0,460100,海口市,110.4187058,19.85391516
1e-06,11.0,273.0,14.0,1.0,5.0,4.0,4.0,469027,乐东黎族自治县,109.0256627,18.64142024
1e-06,1e-06,18.0,2.0,1.0,1.0,1e-06,1e-06,469024,临高县,109.7114152,19.81166656
1.0,1.0,634.0,2.0,3.0,26.0,1.0,4.0,469028,陵水黎族自治县,109.9472495,18.55120847
2.0,1e-06,21.0,1e-06,1e-06,2.0,1e-06,1e-06,469002,琼海市,110.4176137,19.21199099
1e-06,1e-06,42.0,1e-06,1e-06,7.0,1e-06,1e-06,469030,琼中黎族苗族自治县,109.8504045,19.03552648
1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,460300,三沙市,113.6749089,9.826371128
12.0,9.0,1441.0,48.0,107.0,11.0,20.0,67.0,460200,三亚市,109.4176502,18.363836
1e-06,1e-06,1e-06,1e-06,1e-06,1.0,1e-06,1e-06,469022,屯昌县,110.0515501,19.34385258
2.0,6.0,344.0,37.0,1e-06,8.0,4.0,9.0,469006,万宁市,110.3202202,18.83201297
3.0,2.0,327.0,20.0,2.0,5.0,8.0,19.0,469005,文昌市,110.7843123,19.7491203
1e-06,1e-06,27.0,1e-06,1e-06,2.0,1.0,1e-06,469001,五指山市,109.5077013,18.8257064
20.0,2.0,1593.0,146.0,20.0,25.0,36.0,96.0,130600,保定市,115.1711311,39.0215841
9.0,5.0,1120.0,110.0,19.0,17.0,26.0,5.0,130900,沧州市,116.765643,38.26868205
21.0,8.0,1859.0,386.0,326.0,50.0,205.0,19.0,130800,承德市,117.5470245,41.34722488
23.0,8.0,1411.0,181.0,11.0,26.0,79.0,34.0,130400,邯郸市,114.5429506,36.55244711
11.0,1e-06,395.0,23.0,3.0,13.0,4.0,1e-06,131100,衡水市,115.8228812,37.76257514
23.0,1.0,967.0,47.0,3.0,16.0,18.0,15.0,131000,廊坊市,116.6282057,39.2593697
38.0,10.0,2251.0,214.0,506.0,15.0,500.0,3175.0,130300,秦皇岛市,119.1874201,40.0852429
16.0,11.0,3248.0,360.0,38.0,71.0,149.0,30.0,130100,石家庄市,114.4394938,38.13053735
40.0,9.0,2214.0,254.0,260.0,31.0,100.0,88.0,130200,唐山市,118.3323049,39.70886152
6.0,3.0,840.0,58.0,2.0,24.0,28.0,1e-06,130500,邢台市,114.8166568,37.2122495
4.0,10.0,1517.0,130.0,1942.0,45.0,84.0,7.0,130700,张家口市,115.0318418,40.86491896
5.0,1e-06,396.0,13.0,13.0,10.0,37.0,1e-06,410500,安阳市,114.3535494,35.87703964
