transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
8.0,5.0,1068.0,47.0,18.0,62.0,121.0,601.0,340800,安庆市,116.4859918,30.57552958
10.0,12.0,1047.0,135.0,20.0,19.0,73.0,128.0,340300,蚌埠市,117.3247233,33.10928673
2.0,1e-06,49.0,5.0,1e-06,12.0,3.0,1e-06,341600,亳州市,116.1802003,33.43557233
4.0,5.0,341.0,22.0,9.0,72.0,6.0,3.0,341700,池州市,117.3641746,30.28325848
8.0,5.0,971.0,37.0,54.0,56.0,120.0,36.0,341100,滁州市,118.1023333,32.54422643
9.0,3.0,1451.0,80.0,23.0,333.0,117.0,123.0,341200,阜阳市,115.704106,32.91708517
40.0,54.0,5893.0,278.0,50.0,47.0,427.0,711.0,340100,合肥市,117.3550905,31.76262308
2.0,1e-06,178.0,55.0,1e-06,5.0,9.0,3.0,340600,淮北市,116.7432627,33.72839774
2.0,2.0,574.0,30.0,1e-06,17.0,21.0,7.0,340400,淮南市,116.7680215,32.47255328
14.0,4.0,1513.0,62.0,146.0,392.0,33.0,217.0,341000,黄山市,118.0709463,29.90653054
6.0,6.0,1670.0,54.0,24.0,73.0,50.0,121.0,341500,六安市,116.2287615,31.6589212
10.0,1.0,864.0,24.0,10.0,276.0,115.0,15.0,340500,马鞍山市,118.3652036,31.63860487
3.0,2.0,465.0,11.0,1e-06,6.0,10.0,462.0,341300,宿州市,117.2100079,33.85954517
12.0,1e-06,158.0,12.0,13.0,14.0,13.0,155.0,340700,铜陵市,117.5556273,30.88462337
10.0,16.0,1019.0,61.0,2.0,51.0,19.0,76.0,340200,芜湖市,118.1348385,31.16236504
12.0,9.0,615.0,117.0,7.0,67.0,17.0,7.0,341800,宣城市,118.8517787,30.68569806
464.0,42.0,4098.0,1e-06,149.0,37.0,297.0,1650.0,820000,澳门特别行政区,113.5621671,22.16290883
5195.0,650.0,45933.0,3693.0,4733.0,413.0,1683.0,16739.0,110000,北京市,116.4126385,40.18563339
20.0,45.0,6232.0,156.0,181.0,517.0,239.0,306.0,350100,福州市,119.2020247,26.04786074
18.0,13.0,1551.0,225.0,6.0,112.0,61.0,40.0,350800,龙岩市,116.7389397,25.29315682
19.0,1e-06,1147.0,92.0,8.0,114.0,47.0,37.0,350700,南平市,118.1420958,27.33944484
5.0,10.0,1940.0,71.0,38.0,167.0,178.0,22.0,350900,宁德市,119.4905083,26.97080303
4.0,3.0,611.0,35.0,8.0,92.0,9.0,20.0,350300,莆田市,118.9011022,25.44334621
10.0,13.0,2503.0,252.0,23.0,172.0,66.0,56.0,350500,泉州市,118.2648574,25.19265575
15.0,3.0,1546.0,133.0,17.0,94.0,32.0,19.0,350400,三明市,117.3958118,26.29945447
145.0,51.0,5933.0,144.0,204.0,54.0,221.0,756.0,350200,厦门市,118.1203398,24.66184087
10.0,22.0,1975.0,214.0,23.0,347.0,107.0,99.0,350600,漳州市,117.4538756,24.33173139
