transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
9.0,33.0,3917.0,88.0,76,191.0,405.0,743.0,340800,安庆市,116.4859918,30.57552958
33.0,25.0,3181.0,323.0,81,112.0,643.0,809.0,340300,蚌埠市,117.3247233,33.10928673
3.0,5.0,4232.0,49.0,12,427.0,101.0,57.0,341600,亳州市,116.1802003,33.43557233
6.0,20.0,1975.0,105.0,15,170.0,157.0,965.0,341700,池州市,117.3641746,30.28325848
110.0,96.0,5821.0,242.0,132,373.0,778.0,3529.0,341100,滁州市,118.1023333,32.54422643
141.0,19.0,14685.0,534.0,209,780.0,1094.0,5598.0,341200,阜阳市,115.704106,32.91708517
1178.0,194.0,17587.0,850.0,457,1559.0,3942.0,5926.0,340100,合肥市,117.3550905,31.76262308
26.0,1.0,1431.0,190.0,33,88.0,72.0,160.0,340600,淮北市,116.7432627,33.72839774
409.0,30.0,6099.0,301.0,158,512.0,943.0,1312.0,340400,淮南市,116.7680215,32.47255328
71.0,17.0,4559.0,209.0,806,995.0,206.0,283.0,341000,黄山市,118.0709463,29.90653054
20.0,35.0,5567.0,156.0,127,873.0,817.0,672.0,341500,六安市,116.2287615,31.6589212
11.0,70.0,5079.0,124.0,81,330.0,1389.0,3219.0,340500,马鞍山市,118.3652036,31.63860487
7.0,15.0,2548.0,261.0,69,105.0,89.0,1622.0,341300,宿州市,117.2100079,33.85954517
42.0,2.0,1249.0,149.0,63,125.0,173.0,772.0,340700,铜陵市,117.5556273,30.88462337
76.0,84.0,4713.0,211.0,137,388.0,425.0,537.0,340200,芜湖市,118.1348385,31.16236504
7.0,39.0,4206.0,351.0,34,288.0,291.0,1094.0,341800,宣城市,118.8517787,30.68569806
603.0,109.0,8972.0,39.0,1489,51.0,1048.0,8094.0,820000,澳门特别行政区,113.5621671,22.16290883
5706.0,1305.0,75530.0,6207.0,11375,2290.0,7135.0,60859.0,110000,北京市,116.4126385,40.18563339
285.0,211.0,17848.0,581.0,764,1636.0,2279.0,4992.0,350100,福州市,119.2020247,26.04786074
81.0,44.0,5652.0,682.0,123,296.0,256.0,1099.0,350800,龙岩市,116.7389397,25.29315682
54.0,23.0,6611.0,496.0,159,678.0,660.0,495.0,350700,南平市,118.1420958,27.33944484
82.0,60.0,6318.0,121.0,352,1231.0,568.0,454.0,350900,宁德市,119.4905083,26.97080303
55.0,33.0,3059.0,113.0,134,196.0,1048.0,138.0,350300,莆田市,118.9011022,25.44334621
24.0,85.0,10254.0,559.0,406,657.0,1059.0,933.0,350500,泉州市,118.2648574,25.19265575
