transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
3149.0,242.0,14130.0,124.0,535,332.0,1347,3533.0,440400,珠海市,113.3622223,22.15191816
43.0,191.0,12427.0,929.0,89,2147.0,3060,3092.0,451000,百色市,106.2877601,23.98527037
29.0,50.0,2979.0,151.0,193,78.0,372,878.0,450500,北海市,109.3376846,21.66203636
23.0,95.0,4978.0,66.0,95,694.0,1940,241.0,451400,崇左市,107.2738385,22.50297143
11.0,156.0,4806.0,401.0,94,192.0,1268,2638.0,450600,防城港市,108.0128443,21.87172979
12.0,89.0,3606.0,225.0,19,854.0,694,139.0,450800,贵港市,109.9984528,23.30907478
383.0,276.0,15021.0,678.0,1075,1876.0,2559,3719.0,450300,桂林市,110.5132367,25.35528295
9.0,115.0,6764.0,312.0,46,1455.0,1609,210.0,451200,河池市,107.841961,24.64294762
13.0,102.0,3190.0,175.0,64,319.0,574,110.0,451100,贺州市,111.3608713,24.35975362
11.0,83.0,3275.0,120.0,19,1068.0,464,81.0,451300,来宾市,109.4121719,23.85392639
192.0,173.0,7755.0,1316.0,78,940.0,1528,1177.0,450200,柳州市,109.3708449,24.94742713
269.0,303.0,13134.0,1755.0,1402,1398.0,3129,1599.0,450100,南宁市,108.4636676,23.05718804
16.0,161.0,4226.0,580.0,40,363.0,532,769.0,450700,钦州市,109.0157732,22.17366078
115.0,44.0,4178.0,544.0,46,462.0,2501,584.0,450400,梧州市,110.9904289,23.48093816
19.0,136.0,5546.0,315.0,18,585.0,505,187.0,450900,玉林市,110.1823954,22.44219175
60.0,28.0,4429.0,346.0,39,477.0,426,301.0,520400,安顺市,105.9493348,25.99552444
45.0,64.0,10268.0,668.0,69,1472.0,1035,1933.0,520500,毕节市,105.2146574,27.06746399
129.0,71.0,10800.0,1923.0,220,220.0,421,2632.0,520100,贵阳市,106.7069334,26.84251645
43.0,37.0,5361.0,1487.0,66,468.0,1084,548.0,520200,六盘水市,104.8913314,26.13609994
30.0,52.0,7078.0,932.0,137,1953.0,1661,146.0,522600,黔东南苗族侗族自治州,108.5575013,26.50558057
60.0,102.0,8128.0,986.0,194,643.0,2855,236.0,522700,黔南布依族苗族自治州,107.2502757,26.01382412
14.0,61.0,6399.0,349.0,57,1075.0,878,672.0,522300,黔西南布依族苗族自治州,105.4641868,25.26539889
32.0,53.0,4547.0,281.0,42,880.0,624,205.0,520600,铜仁市,108.5420469,27.97107267
152.0,151.0,13072.0,470.0,854,829.0,1792,1693.0,520300,遵义市,107.0853274,28.16883808
2.0,15.0,329.0,2.0,3,205.0,50,94.0,469025,白沙黎族自治县,109.3476773,19.21145365
3.0,13.0,556.0,1e-06,24,12.0,111,1142.0,469029,保亭黎族苗族自治县,109.646611,18.59140998
5.0,8.0,520.0,41.0,3,83.0,42,36.0,469026,昌江黎族自治县,108.9898588,19.22749548
3.0,22.0,2187.0,76.0,59,216.0,495,71.0,469023,澄迈县,109.986141,19.70182656
5.0,20.0,1861.0,149.0,65,234.0,756,240.0,460400,儋州市,109.3862008,19.58191678
1e-06,16.0,623.0,1e-06,17,30.0,316,23.0,469021,定安县,110.3086113,19.48500595
5.0,16.0,712.0,119.0,15,104.0,55,80.0,469007,东方市,108.8150292,18.99781225
100.0,96.0,5982.0,188.0,407,54.0,2214,1599.0,460100,海口市,110.4187058,19.85391516
4.0,29.0,975.0,63.0,52,25.0,197,37.0,469027,乐东黎族自治县,109.0256627,18.64142024
3.0,5.0,1000.0,15.0,58,23.0,637,13.0,469024,临高县,109.7114152,19.81166656
40.0,25.0,1792.0,67.0,121,77.0,345,803.0,469028,陵水黎族自治县,109.9472495,18.55120847
26.0,30.0,886.0,64.0,26,31.0,144,115.0,469002,琼海市,110.4176137,19.21199099
2.0,4.0,848.0,1e-06,7,49.0,92,228.0,469030,琼中黎族苗族自治县,109.8504045,19.03552648
19.0,5.0,327.0,1e-06,64,3.0,84,802.0,460300,三沙市,113.6749089,9.826371128
509.0,119.0,5020.0,288.0,1710,32.0,659,22788.0,460200,三亚市,109.4176502,18.363836
1e-06,14.0,709.0,1e-06,32,216.0,199,124.0,469022,屯昌县,110.0515501,19.34385258
12.0,15.0,993.0,164.0,40,34.0,35,164.0,469006,万宁市,110.3202202,18.83201297
5.0,40.0,1713.0,145.0,38,28.0,296,127.0,469005,文昌市,110.7843123,19.7491203
2.0,4.0,358.0,1e-06,4,21.0,88,9.0,469001,五指山市,109.5077013,18.8257064
308.0,165.0,26955.0,603.0,851,5972.0,3369,14199.0,130600,保定市,115.1711311,39.0215841
