transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
9.0,31.0,3669.0,83.0,76.0,191.0,383.0,737.0,340800,安庆市,116.4859918,30.57552958
32.0,25.0,2943.0,274.0,80.0,108.0,638.0,809.0,340300,蚌埠市,117.3247233,33.10928673
3.0,5.0,2591.0,36.0,11.0,423.0,96.0,55.0,341600,亳州市,116.1802003,33.43557233
6.0,20.0,1811.0,93.0,15.0,166.0,155.0,964.0,341700,池州市,117.3641746,30.28325848
109.0,94.0,5188.0,193.0,130.0,370.0,641.0,3517.0,341100,滁州市,118.1023333,32.54422643
128.0,14.0,8570.0,427.0,171.0,740.0,878.0,4429.0,341200,阜阳市,115.704106,32.91708517
1148.0,165.0,15728.0,454.0,433.0,1556.0,3312.0,5443.0,340100,合肥市,117.3550905,31.76262308
25.0,1.0,1272.0,131.0,9.0,62.0,60.0,103.0,340600,淮北市,116.7432627,33.72839774
406.0,28.0,5498.0,248.0,146.0,507.0,1278.0,1240.0,340400,淮南市,116.7680215,32.47255328
60.0,13.0,3991.0,81.0,588.0,986.0,175.0,246.0,341000,黄山市,118.0709463,29.90653054
12.0,31.0,4611.0,153.0,91.0,818.0,708.0,524.0,341500,六安市,116.2287615,31.6589212
12.0,27.0,3245.0,102.0,55.0,333.0,525.0,1261.0,340500,马鞍山市,118.3652036,31.63860487
7.0,15.0,2168.0,240.0,69.0,98.0,89.0,1612.0,341300,宿州市,117.2100079,33.85954517
41.0,2.0,1218.0,59.0,54.0,124.0,170.0,767.0,340700,铜陵市,117.5556273,30.88462337
76.0,81.0,4325.0,170.0,137.0,389.0,374.0,533.0,340200,芜湖市,118.1348385,31.16236504
6.0,33.0,3472.0,246.0,28.0,272.0,161.0,1092.0,341800,宣城市,118.8517787,30.68569806
584.0,90.0,7334.0,42.0,1291.0,48.0,962.0,5432.0,820000,澳门特别行政区,113.5621671,22.16290883
5548.0,1154.0,69666.0,5412.0,10306.0,1092.0,4780.0,57108.0,110000,北京市,116.4126385,40.18563339
272.0,188.0,14124.0,405.0,713.0,1587.0,1978.0,1436.0,350100,福州市,119.2020247,26.04786074
79.0,35.0,3859.0,427.0,95.0,203.0,222.0,985.0,350800,龙岩市,116.7389397,25.29315682
42.0,17.0,3959.0,418.0,58.0,646.0,497.0,304.0,350700,南平市,118.1420958,27.33944484
84.0,46.0,4844.0,118.0,308.0,1170.0,306.0,355.0,350900,宁德市,119.4905083,26.97080303
56.0,31.0,2793.0,75.0,129.0,190.0,1031.0,126.0,350300,莆田市,118.9011022,25.44334621
25.0,81.0,9237.0,423.0,385.0,628.0,1030.0,883.0,350500,泉州市,118.2648574,25.19265575
21.0,20.0,4303.0,221.0,53.0,302.0,192.0,1915.0,350400,三明市,117.3958118,26.29945447
479.0,105.0,9390.0,248.0,762.0,75.0,974.0,5406.0,350200,厦门市,118.1203398,24.66184087
21.0,43.0,12130.0,407.0,111.0,683.0,697.0,694.0,350600,漳州市,117.4538756,24.33173139
48.0,38.0,3832.0,268.0,149.0,1065.0,1637.0,1214.0,620400,白银市,104.6216216,36.61350215
25.0,68.0,6688.0,329.0,252.0,1469.0,2681.0,1892.0,621100,定西市,104.4529881,35.11963209
11.0,15.0,2711.0,1e-06,204.0,1045.0,582.0,718.0,623000,甘南藏族自治州,102.7645258,34.32153236
13.0,9.0,758.0,705.0,118.0,1.0,61.0,53.0,620200,嘉峪关市,98.21052423,39.82837139
1e-06,7.0,1084.0,385.0,16.0,98.0,51.0,167.0,620300,金昌市,102.0434659,38.43220687
54.0,40.0,5547.0,543.0,265.0,209.0,606.0,1501.0,620900,酒泉市,96.05604704,40.26035992
1144.0,138.0,15730.0,2081.0,1305.0,675.0,3954.0,20023.0,620100,兰州市,103.6380054,36.35519362
21.0,25.0,3340.0,62.0,142.0,654.0,903.0,1413.0,622900,临夏回族自治州,103.2873444,35.62419073
10.0,21.0,4497.0,228.0,45.0,2751.0,1352.0,583.0,621200,陇南市,105.2219039,33.59690725
16.0,28.0,3584.0,347.0,103.0,885.0,759.0,621.0,620800,平凉市,106.6479524,35.30587369
1.0,28.0,3393.0,8.0,84.0,550.0,347.0,106.0,621000,庆阳市,107.5905094,36.16249081
558.0,39.0,9551.0,745.0,446.0,1401.0,4165.0,2781.0,620500,天水市,105.7377839,34.64732994
15.0,13.0,3117.0,313.0,92.0,394.0,560.0,394.0,620600,武威市,103.0572447,38.17552027
18.0,32.0,3034.0,340.0,160.0,220.0,344.0,276.0,620700,张掖市,99.82270207,38.9557895
32.0,74.0,6790.0,102.0,264.0,904.0,776.0,1189.0,445100,潮州市,116.7855457,23.78554642
72.0,105.0,14909.0,421.0,174.0,585.0,804.0,1454.0,441900,东莞市,113.874986,22.9345278
590.0,94.0,26816.0,724.0,397.0,912.0,1843.0,3378.0,440600,佛山市,112.944453,23.00652761
8304.0,448.0,53981.0,2859.0,2405.0,528.0,3567.0,16531.0,440100,广州市,113.5390412,23.33085285
7.0,40.0,3130.0,556.0,10.0,1553.0,77.0,84.0,441600,河源市,114.9578225,24.04461582
41.0,99.0,8773.0,347.0,134.0,1458.0,330.0,1318.0,441300,惠州市,114.5027026,23.23510341
762.0,182.0,16017.0,90.0,942.0,2801.0,3016.0,1757.0,440700,江门市,112.6725521,22.26739023
4.0,29.0,3051.0,134.0,42.0,1475.0,356.0,960.0,445200,揭阳市,116.1197969,23.33613639
12.0,28.0,4059.0,235.0,50.0,2862.0,288.0,236.0,440900,茂名市,110.9534848,22.01009072
16.0,39.0,4026.0,240.0,18.0,2384.0,108.0,133.0,441400,梅州市,116.0794106,24.20307298
764.0,91.0,10084.0,450.0,250.0,1951.0,1738.0,916.0,441800,清远市,112.8749874,24.31430554
261.0,104.0,6098.0,80.0,187.0,631.0,1124.0,6237.0,440500,汕头市,116.5955695,23.33031228
4.0,32.0,2750.0,148.0,11.0,981.0,154.0,326.0,441500,汕尾市,115.5889047,22.875304
35.0,53.0,3276.0,608.0,88.0,1520.0,184.0,221.0,440200,韶关市,113.7745134,24.82036632
1307.0,481.0,31214.0,928.0,1698.0,309.0,2270.0,18285.0,440300,深圳市,114.1371684,22.64531697
12.0,55.0,3015.0,80.0,54.0,1426.0,540.0,91.0,441700,阳江市,111.7745686,22.02781209
68.0,29.0,3761.0,419.0,369.0,1275.0,577.0,3085.0,445300,云浮市,111.7936589,22.81603286
27.0,84.0,6955.0,215.0,76.0,3486.0,589.0,2507.0,440800,湛江市,110.1649401,21.07534974
56.0,38.0,5660.0,717.0,90.0,2012.0,360.0,268.0,441200,肇庆市,112.2053303,23.53770546
444.0,71.0,11593.0,81.0,191.0,589.0,948.0,11578.0,442000,中山市,113.393566,22.51990101
2849.0,146.0,10041.0,94.0,347.0,267.0,1021.0,2380.0,440400,珠海市,113.3622223,22.15191816
41.0,76.0,5645.0,450.0,10.0,1736.0,1383.0,309.0,451000,百色市,106.2877601,23.98527037
16.0,17.0,1770.0,74.0,89.0,61.0,188.0,762.0,450500,北海市,109.3376846,21.66203636
14.0,18.0,1951.0,25.0,22.0,324.0,323.0,50.0,451400,崇左市,107.2738385,22.50297143
8.0,27.0,1892.0,106.0,28.0,69.0,238.0,427.0,450600,防城港市,108.0128443,21.87172979
6.0,46.0,1635.0,111.0,7.0,641.0,453.0,65.0,450800,贵港市,109.9984528,23.30907478
341.0,163.0,11143.0,452.0,791.0,1534.0,1856.0,1862.0,450300,桂林市,110.5132367,25.35528295
6.0,66.0,4410.0,256.0,35.0,855.0,1029.0,156.0,451200,河池市,107.841961,24.64294762
10.0,12.0,1400.0,59.0,60.0,88.0,143.0,64.0,451100,贺州市,111.3608713,24.35975362
6.0,41.0,1885.0,89.0,14.0,917.0,238.0,61.0,451300,来宾市,109.4121719,23.85392639
136.0,109.0,5093.0,621.0,53.0,684.0,919.0,971.0,450200,柳州市,109.3708449,24.94742713
76.0,121.0,6122.0,871.0,109.0,1051.0,627.0,454.0,450100,南宁市,108.4636676,23.05718804
5.0,57.0,2025.0,378.0,24.0,342.0,160.0,261.0,450700,钦州市,109.0157732,22.17366078
6.0,18.0,1997.0,429.0,11.0,274.0,1954.0,131.0,450400,梧州市,110.9904289,23.48093816
17.0,28.0,2207.0,237.0,11.0,306.0,188.0,85.0,450900,玉林市,110.1823954,22.44219175
51.0,24.0,2436.0,217.0,32.0,477.0,197.0,97.0,520400,安顺市,105.9493348,25.99552444
42.0,47.0,7503.0,387.0,22.0,1463.0,769.0,992.0,520500,毕节市,105.2146574,27.06746399
123.0,55.0,7564.0,1251.0,94.0,215.0,288.0,402.0,520100,贵阳市,106.7069334,26.84251645
37.0,29.0,3704.0,1195.0,39.0,469.0,934.0,330.0,520200,六盘水市,104.8913314,26.13609994
23.0,44.0,5294.0,833.0,127.0,1891.0,1620.0,92.0,522600,黔东南苗族侗族自治州,108.5575013,26.50558057
29.0,63.0,5663.0,835.0,103.0,629.0,2646.0,124.0,522700,黔南布依族苗族自治州,107.2502757,26.01382412
10.0,44.0,4061.0,190.0,48.0,973.0,676.0,106.0,522300,黔西南布依族苗族自治州,105.4641868,25.26539889
11.0,44.0,3867.0,259.0,20.0,840.0,420.0,181.0,520600,铜仁市,108.5420469,27.97107267
146.0,112.0,9278.0,149.0,661.0,823.0,1438.0,1003.0,520300,遵义市,107.0853274,28.16883808
1e-06,14.0,232.0,2.0,3.0,61.0,49.0,15.0,469025,白沙黎族自治县,109.3476773,19.21145365
1.0,10.0,262.0,1e-06,17.0,12.0,99.0,12.0,469029,保亭黎族苗族自治县,109.646611,18.59140998
1.0,4.0,382.0,19.0,2.0,17.0,39.0,35.0,469026,昌江黎族自治县,108.9898588,19.22749548
2.0,15.0,1100.0,73.0,62.0,39.0,494.0,51.0,469023,澄迈县,109.986141,19.70182656
3.0,12.0,1574.0,105.0,63.0,77.0,736.0,168.0,460400,儋州市,109.3862008,19.58191678
1e-06,15.0,498.0,1e-06,15.0,30.0,290.0,17.0,469021,定安县,110.3086113,19.48500595
2.0,10.0,624.0,98.0,4.0,20.0,46.0,68.0,469007,东方市,108.8150292,18.99781225
84.0,57.0,5012.0,141.0,374.0,51.0,1975.0,939.0,460100,海口市,110.4187058,19.85391516
3.0,25.0,531.0,55.0,43.0,24.0,151.0,25.0,469027,乐东黎族自治县,109.0256627,18.64142024
1.0,5.0,586.0,13.0,57.0,17.0,636.0,13.0,469024,临高县,109.7114152,19.81166656
12.0,16.0,1277.0,58.0,62.0,44.0,331.0,140.0,469028,陵水黎族自治县,109.9472495,18.55120847
24.0,22.0,557.0,64.0,19.0,23.0,142.0,36.0,469002,琼海市,110.4176137,19.21199099
1e-06,4.0,518.0,1e-06,5.0,40.0,82.0,114.0,469030,琼中黎族苗族自治县,109.8504045,19.03552648
1.0,2.0,167.0,1e-06,29.0,6.0,41.0,361.0,460300,三沙市,113.6749089,9.826371128
351.0,69.0,3396.0,257.0,972.0,36.0,587.0,9475.0,460200,三亚市,109.4176502,18.363836
1e-06,15.0,536.0,1e-06,27.0,77.0,197.0,118.0,469022,屯昌县,110.0515501,19.34385258
9.0,14.0,687.0,144.0,29.0,34.0,26.0,28.0,469006,万宁市,110.3202202,18.83201297
3.0,31.0,1464.0,145.0,23.0,23.0,270.0,114.0,469005,文昌市,110.7843123,19.7491203
2.0,4.0,257.0,1e-06,4.0,21.0,72.0,5.0,469001,五指山市,109.5077013,18.8257064
301.0,84.0,14746.0,496.0,841.0,561.0,1222.0,4721.0,130600,保定市,115.1711311,39.0215841
36.0,40.0,19529.0,554.0,15.0,277.0,987.0,15172.0,130900,沧州市,116.765643,38.26868205
77.0,46.0,5429.0,1217.0,393.0,439.0,660.0,1981.0,130800,承德市,117.5470245,41.34722488
45.0,15.0,12421.0,392.0,20.0,264.0,634.0,3068.0,130400,邯郸市,114.5429506,36.55244711
25.0,18.0,6640.0,149.0,5.0,200.0,321.0,2673.0,131100,衡水市,115.8228812,37.76257514
30.0,20.0,6387.0,227.0,68.0,121.0,408.0,3365.0,131000,廊坊市,116.6282057,39.2593697
180.0,58.0,4092.0,734.0,598.0,33.0,614.0,6445.0,130300,秦皇岛市,119.1874201,40.0852429
98.0,65.0,22103.0,1025.0,201.0,337.0,2347.0,4460.0,130100,石家庄市,114.4394938,38.13053735
69.0,108.0,12737.0,1526.0,661.0,203.0,1906.0,4044.0,130200,唐山市,118.3323049,39.70886152
30.0,11.0,17843.0,218.0,56.0,219.0,1037.0,7548.0,130500,邢台市,114.8166568,37.2122495
272.0,80.0,12734.0,1095.0,2225.0,4695.0,5630.0,2318.0,130700,张家口市,115.0318418,40.86491896
18.0,18.0,2333.0,177.0,27.0,131.0,106.0,16.0,410500,安阳市,114.3535494,35.87703964
7.0,1.0,856.0,40.0,13.0,26.0,13.0,42.0,410600,鹤壁市,114.30933,35.72306663
5.0,1.0,478.0,91.0,1.0,9.0,15.0,1e-06,419001,济源市,112.3924557,35.09959215
10.0,4.0,2002.0,227.0,10.0,48.0,43.0,114.0,410800,焦作市,113.1318127,35.11257246
16.0,17.0,2925.0,14.0,35.0,68.0,143.0,142.0,410200,开封市,114.5353871,34.60479893
239.0,318.0,11030.0,481.0,182.0,234.0,1658.0,20292.0,410300,洛阳市,112.03177,34.29236569
2.0,2.0,1023.0,42.0,7.0,210.0,39.0,28.0,411100,漯河市,113.8996543,33.6556501
24.0,17.0,5242.0,686.0,77.0,131.0,134.0,234.0,411300,南阳市,112.2834582,33.04421864
636.0,40.0,3719.0,418.0,391.0,572.0,560.0,574.0,410400,平顶山市,113.0109485,33.79587441
4.0,4.0,1875.0,95.0,42.0,46.0,193.0,130.0,410900,濮阳市,115.2816646,35.80874277
32.0,10.0,1884.0,400.0,10.0,61.0,147.0,17.0,411200,三门峡市,111.1060472,34.36107505
6.0,10.0,3143.0,57.0,5.0,535.0,154.0,196.0,411400,商丘市,115.6975978,34.2891748
13.0,14.0,3590.0,125.0,147.0,172.0,260.0,157.0,410700,新乡市,114.0894418,35.26381432
59.0,83.0,6994.0,505.0,354.0,179.0,482.0,2297.0,411500,信阳市,114.8835408,32.08132574
7.0,1.0,2627.0,113.0,17.0,152.0,92.0,293.0,411000,许昌市,113.7096892,34.07234436
114.0,69.0,10792.0,1251.0,167.0,67.0,346.0,5150.0,410100,郑州市,113.4726362,34.6255035
1.0,8.0,4733.0,41.0,20.0,460.0,302.0,120.0,411600,周口市,114.8776668,33.72195465
8.0,35.0,2944.0,62.0,67.0,208.0,70.0,144.0,411700,驻马店市,114.1507746,32.92334957
21.0,17.0,2302.0,43.0,63.0,66.0,66.0,569.0,230600,大庆市,124.6997901,46.34702605
24.0,2.0,1174.0,79.0,12.0,42.0,309.0,478.0,232700,大兴安岭地区,124.2036058,52.32603701
149.0,169.0,11034.0,1040.0,258.0,400.0,3284.0,3911.0,230100,哈尔滨市,127.9576274,45.63734134
6.0,1.0,776.0,47.0,2.0,89.0,160.0,233.0,230400,鹤岗市,130.8005037,47.63981162
