transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
7.0,23.0,2473.0,72.0,37.0,169.0,208.0,648.0,340800,安庆市,116.4859918,30.57552958
23.0,19.0,1866.0,188.0,69.0,58.0,180.0,628.0,340300,蚌埠市,117.3247233,33.10928673
2.0,1.0,425.0,9.0,1e-06,81.0,6.0,13.0,341600,亳州市,116.1802003,33.43557233
3.0,11.0,1103.0,91.0,11.0,153.0,20.0,19.0,341700,池州市,117.3641746,30.28325848
9.0,84.0,3090.0,92.0,58.0,239.0,318.0,3326.0,341100,滁州市,118.1023333,32.54422643
14.0,3.0,2154.0,194.0,31.0,402.0,145.0,201.0,341200,阜阳市,115.704106,32.91708517
322.0,122.0,10872.0,388.0,248.0,852.0,1332.0,2624.0,340100,合肥市,117.3550905,31.76262308
7.0,1.0,758.0,104.0,1e-06,12.0,14.0,12.0,340600,淮北市,116.7432627,33.72839774
333.0,22.0,2811.0,189.0,34.0,137.0,440.0,252.0,340400,淮南市,116.7680215,32.47255328
15.0,8.0,2095.0,60.0,465.0,538.0,48.0,230.0,341000,黄山市,118.0709463,29.90653054
7.0,11.0,2334.0,64.0,29.0,135.0,262.0,242.0,341500,六安市,116.2287615,31.6589212
11.0,21.0,2464.0,80.0,29.0,313.0,316.0,716.0,340500,马鞍山市,118.3652036,31.63860487
9.0,11.0,1671.0,216.0,65.0,40.0,69.0,1606.0,341300,宿州市,117.2100079,33.85954517
24.0,1.0,652.0,52.0,49.0,34.0,73.0,748.0,340700,铜陵市,117.5556273,30.88462337
18.0,65.0,2848.0,128.0,31.0,120.0,157.0,388.0,340200,芜湖市,118.1348385,31.16236504
5.0,23.0,2669.0,234.0,25.0,217.0,92.0,1056.0,341800,宣城市,118.8517787,30.68569806
472.0,72.0,5840.0,10.0,549.0,34.0,716.0,3428.0,820000,澳门特别行政区,113.5621671,22.16290883
5491.0,812.0,56152.0,5182.0,7221.0,583.0,2748.0,31006.0,110000,北京市,116.4126385,40.18563339
179.0,93.0,9293.0,227.0,398.0,1295.0,490.0,881.0,350100,福州市,119.2020247,26.04786074
69.0,30.0,3004.0,235.0,60.0,139.0,136.0,783.0,350800,龙岩市,116.7389397,25.29315682
47.0,15.0,2312.0,151.0,42.0,435.0,176.0,250.0,350700,南平市,118.1420958,27.33944484
5.0,26.0,3168.0,71.0,272.0,851.0,228.0,147.0,350900,宁德市,119.4905083,26.97080303
9.0,9.0,1142.0,44.0,17.0,157.0,16.0,63.0,350300,莆田市,118.9011022,25.44334621
16.0,44.0,4652.0,371.0,58.0,536.0,103.0,115.0,350500,泉州市,118.2648574,25.19265575
15.0,12.0,2492.0,151.0,20.0,220.0,155.0,50.0,350400,三明市,117.3958118,26.29945447
408.0,76.0,6895.0,188.0,522.0,61.0,315.0,1059.0,350200,厦门市,118.1203398,24.66184087
14.0,24.0,3489.0,217.0,26.0,674.0,171.0,611.0,350600,漳州市,117.4538756,24.33173139
36.0,32.0,2626.0,222.0,109.0,634.0,1144.0,1116.0,620400,白银市,104.6216216,36.61350215
24.0,60.0,4875.0,228.0,193.0,831.0,1955.0,953.0,621100,定西市,104.4529881,35.11963209
9.0,9.0,1735.0,1e-06,114.0,818.0,334.0,412.0,623000,甘南藏族自治州,102.7645258,34.32153236
6.0,8.0,743.0,703.0,93.0,1.0,75.0,52.0,620200,嘉峪关市,98.21052423,39.82837139
1e-06,7.0,683.0,85.0,13.0,6.0,16.0,149.0,620300,金昌市,102.0434659,38.43220687
26.0,31.0,3786.0,478.0,192.0,106.0,452.0,1387.0,620900,酒泉市,96.05604704,40.26035992
975.0,126.0,12649.0,1731.0,865.0,287.0,3326.0,15329.0,620100,兰州市,103.6380054,36.35519362
20.0,19.0,1900.0,61.0,49.0,381.0,520.0,611.0,622900,临夏回族自治州,103.2873444,35.62419073
9.0,7.0,2053.0,197.0,5.0,1454.0,308.0,101.0,621200,陇南市,105.2219039,33.59690725
13.0,21.0,1754.0,308.0,72.0,178.0,587.0,216.0,620800,平凉市,106.6479524,35.30587369
1.0,6.0,809.0,3.0,47.0,97.0,110.0,7.0,621000,庆阳市,107.5905094,36.16249081
548.0,33.0,7789.0,675.0,333.0,597.0,3077.0,1864.0,620500,天水市,105.7377839,34.64732994
13.0,7.0,1485.0,296.0,28.0,55.0,116.0,331.0,620600,武威市,103.0572447,38.17552027
21.0,26.0,1899.0,247.0,112.0,134.0,211.0,111.0,620700,张掖市,99.82270207,38.9557895
12.0,43.0,4661.0,36.0,236.0,847.0,540.0,1085.0,445100,潮州市,116.7855457,23.78554642
72.0,46.0,10227.0,461.0,106.0,578.0,589.0,574.0,441900,东莞市,113.874986,22.9345278
280.0,30.0,15199.0,271.0,170.0,901.0,1123.0,740.0,440600,佛山市,112.944453,23.00652761
4741.0,256.0,36991.0,1525.0,1343.0,275.0,1959.0,10002.0,440100,广州市,113.5390412,23.33085285
6.0,30.0,2077.0,477.0,4.0,1544.0,62.0,49.0,441600,河源市,114.9578225,24.04461582
13.0,78.0,5399.0,140.0,63.0,1364.0,184.0,1055.0,441300,惠州市,114.5027026,23.23510341
286.0,111.0,10620.0,55.0,620.0,2575.0,545.0,713.0,440700,江门市,112.6725521,22.26739023
