city_code,city,population
520400,安顺市,2331741
520500,毕节市,6327471
520600,铜仁市,3302625
522300,黔西南布依族苗族自治州,2864920
522600,黔东南苗族侗族自治州,3844697
522700,黔南布依族苗族自治州,3569847
530100,昆明市,5781294
530300,曲靖市,5466089
530400,玉溪市,2073005
530500,保山市,2348315
530600,昭通市,4592388
530700,丽江市,1126646
530800,普洱市,2480346
530900,临沧市,2332570
532300,楚雄彝族自治州,2542530
532500,红河哈尼族彝族自治州,4130463
532600,文山壮族苗族自治州,3268553
532800,西双版纳傣族自治州,993397
532900,大理白族自治州,3296552
533100,德宏傣族景颇族自治州,1082599
533300,怒江傈僳族自治州,491824
533400,迪庆藏族自治州,353518
540100,拉萨市,474499
540200,日喀则市,634962
540300,昌都市,586152
540400,林芝市,158647
540500,山南市,318106
540600,那曲市,366710
542500,阿里地区,77253
610100,西安市,7274832
610200,铜川市,792600
610300,宝鸡市,3594215
610400,咸阳市,4886003
610500,渭南市,5292200
610600,延安市,2016787
610700,汉中市,3411044
610800,榆林市,3138040
610900,安康市,2613914
611000,商洛市,2345437
620100,兰州市,3142523
620200,嘉峪关市,159541
620300,金昌市,451570
620400,白银市,1719735
620500,天水市,3219323
620600,武威市,1836986
620700,张掖市,1251754
620800,平凉市,2067102
620900,酒泉市,980492
621000,庆阳市,2420960
621100,定西市,2820249
621200,陇南市,2585479
622900,临夏回族自治州,1828462
623000,甘南藏族自治州,640106
630100,西宁市,1849713
630200,海东市,1391565
632200,海北藏族自治州,258922
632300,黄南藏族自治州,214642
632500,海南藏族自治州,375426
632600,果洛藏族自治州,137940
632700,玉树藏族自治州,262661
632800,海西蒙古族藏族自治州,332094
640100,银川市,1427503
640200,石嘴山市,675378
640300,吴忠市,1086407
640400,固原市,1383401
640500,中卫市,913704
650100,乌鲁木齐市,2262786
650200,克拉玛依市,270232
650400,吐鲁番市,550731
650500,哈密市,492096
652300,昌吉回族自治州,1322145
652700,博尔塔拉蒙古自治州,424040
652800,巴音郭楞蒙古自治州,1056970
652900,阿克苏地区,2141745
653000,克孜勒苏柯尔克孜自治州,439688
653100,喀什地区,3405713
653200,和田地区,1681310
654000,伊犁哈萨克自治州,2367876
654200,塔城地区,892397
654300,阿勒泰地区,561667
429004,仙桃市,1134715
429005,潜江市,886547
429006,天门市,1158640
429021,神农架林区,66571
469001,五指山市,112269
469002,琼海市,528238
469005,文昌市,560894
469006,万宁市,545992
469007,东方市,444458
469021,定安县,284690
469022,屯昌县,255335
469023,澄迈县,497953
469024,临高县,420594
469025,白沙黎族自治县,164699
469026,昌江黎族自治县,232124
469027,乐东黎族自治县,464435
469028,陵水黎族自治县,372511
469029,保亭黎族苗族自治县,156108
469030,琼中黎族苗族自治县,179586
659001,石河子市,717000
659002,阿拉尔市,409000
659003,图木舒克市,270100
659004,五家渠市,143000
659005,北屯市,86300
659006,铁门关市,231600
659007,双河市,133200
659008,可克达拉市,256500
659009,昆玉市,57028
659010,胡杨河市,248126
710000,台湾省,23561236
810000,香港特别行政区,7474200
820000,澳门特别行政区,683218
