real_value,form_city_code,to_city_code
4.769999999999998,230900,230800
2.719444444444443,230900,230500
8.001944444444446,230900,230100
1.9208333333333332,230900,231000
0.11027777777777778,230900,231200
6.049444444444446,230900,230300
0.0011111111111111113,230900,231100
29.181666666666654,469006,460200
0.185,469006,469029
5.05027777777778,469006,460400
4.21027777777778,469006,469005
21.302777777777784,469006,460100
20.943611111111117,469006,469002
21.906111111111112,469006,469028
21.84888888888889,460200,469006
0.0011111111111111113,460200,460300
10.209722222222224,460200,469007
38.76749999999999,460200,469027
9.645833333333336,460200,469001
29.68,460200,469029
7.2875,460200,460400
2.8191666666666673,460200,469005
1.235277777777778,460200,469026
29.079722222222212,460200,460100
0.9794444444444445,460200,469023
0.07027777777777779,460200,469030
9.043888888888885,460200,469002
97.7961111111111,460200,469028
35.532222222222224,350400,350700
28.238055555555547,350400,350200
5.2891666666666675,350400,350900
62.134722222222216,350400,350500
10.669166666666667,350400,350600
42.19527777777779,350400,350100
14.301388888888892,350400,350300
21.066111111111113,350400,350800
78.98305555555554,411200,410300
31.996388888888866,411200,410100
17.855000000000004,310000,320100
347.08888888888885,310000,320600
5.278888888888889,310000,340100
619.9363888888888,310000,330400
74.44944444444442,310000,330200
1.7822222222222222,310000,340800
35.48833333333332,310000,320400
167.07249999999996,310000,320200
210.7805555555556,310000,330100
7.697499999999999,310000,321200
51.207222222222214,310000,330500
12.04833333333333,310000,320900
1.6816666666666666,310000,330600
4.190833333333333,310000,330900
0.8027777777777778,310000,340200
2606.734999999999,310000,320500
32.66583333333334,361100,360400
108.23833333333336,361100,360100
8.342777777777778,361100,360800
16.781111111111112,361100,360900
46.55888888888887,361100,361000
3.185555555555556,361100,360500
100.29277777777774,361100,360200
3.6711111111111094,361100,360300
13.81388888888889,361100,360700
18.0925,361100,330700
60.33916666666665,361100,360600
10.128611111111116,469007,460200
11.188055555555561,469007,469027
6.927499999999997,469007,460400
7.620277777777776,469007,469026
9.873055555555558,469007,460100
512.9752777777777,441900,442000
4.257777777777778,441900,445300
1305.809166666667,441900,440600
5139.891111111115,441900,440100
3771.276666666667,441900,441300
9.293333333333335,441900,445200
17.65666666666667,441900,441400
1.1738888888888892,441900,431100
0.6816666666666666,441900,441500
213.0322222222222,441900,440700
44.326944444444436,441900,441600
12223.655555555566,441900,440300
50.69222222222223,441900,441800
12.314444444444446,441900,440800
1.166111111111111,441900,
169.0544444444444,441900,440400
94.13138888888889,441900,441200
55.88083333333332,441900,440900
1.3275,441900,430500
1.8916666666666666,441900,441700
1.8955555555555557,441900,440200
0.5061111111111111,441900,
33.98888888888889,370500,370100
47.440833333333345,370500,370300
120.41166666666665,370500,371600
100.62916666666666,370500,370700
8.489166666666666,370500,370200
48.83666666666666,640500,640300
24.80555555555555,640500,640400
4.834999999999998,640500,640200
42.05055555555556,640500,640100
468.49027777777786,442000,441900
2102.258611111109,442000,440600
1529.060277777778,442000,440100
60.150000000000006,442000,441300
921.6441666666664,442000,440700
407.9297222222222,442000,440300
1.4594444444444443,442000,440800
3.665,442000,
2275.769999999999,442000,440400
60.361666666666665,442000,441200
5.529444444444444,442000,440900
0.1388888888888889,442000,
33.81361111111112,,620100
0.9661111111111108,,620500
11.661666666666664,,621100
0.4752777777777778,,620600
7.786944444444446,,
1.4494444444444439,,620400
0.043055555555555555,,620900
0.11083333333333334,,621200
27.47027777777779,141000,141100
1.8758333333333328,141000,140200
34.54944444444443,141000,140100
3.738888888888887,141000,140900
36.06694444444445,141000,140700
14.687222222222212,141000,140500
1.0552777777777778,141000,140600
119.29805555555555,141000,140800
23.860555555555553,141000,140400
1.401944444444445,141000,140300
181.77222222222227,371300,371100
102.03972222222222,371300,370400
72.67861111111111,371300,370900
99.10499999999998,371300,370100
87.32333333333332,371300,370800
46.84777777777778,371300,370300
2.5722222222222224,371300,371600
111.3702777777778,371300,370700
2.8000000000000003,371300,370600
24.732222222222227,371300,371700
86.20083333333332,371300,370200
7.514999999999998,530900,530500
8.167222222222225,530900,
0.048055555555555546,530900,
8.391944444444446,530900,530100
8.01472222222222,530900,530800
0.022222222222222223,530900,530400
1.166666666666667,530900,
15.945277777777779,469024,460400
23.752777777777773,469024,460100
8.777777777777777,469024,469023
16.578611111111112,210600,210200
7.914444444444444,210600,210500
14.245277777777776,210600,210100
10.086666666666664,210600,210300
22.978888888888896,331100,331000
1.2366666666666666,331100,330400
11.103888888888893,331100,330200
25.641944444444444,331100,330100
126.06388888888891,331100,330300
8.1425,331100,330600
20.036111111111108,331100,330800
82.91805555555557,331100,330700
0.13416666666666666,530700,530500
38.160277777777786,530700,
0.02388888888888889,530700,
7.335000000000003,530700,530100
0.3011111111111112,530700,
10.57194444444444,530700,
0.8008333333333332,150900,150300
0.6369444444444443,150900,152200
16.708055555555564,150900,150200
0.22666666666666666,150900,150700
70.72972222222225,150900,150100
4.219444444444442,150900,150800
4.207222222222222,150900,150400
1.4397222222222221,150900,150500
9.871111111111116,150900,150600
14.394722222222223,150900,152500
0.2727777777777778,150900,152900
0.5111111111111112,150300,150900
1.97,150300,150200
0.00027777777777777783,150300,150700
1.8933333333333335,150300,150100
8.446666666666665,150300,150800
0.019166666666666665,150300,150400
29.821944444444448,150300,150600
10.657500000000006,150300,152900
47.43138888888889,650100,659004
12.858611111111113,650100,
6.522500000000003,650100,650200
0.030555555555555558,650100,659005
3.0033333333333325,650100,
19.650833333333335,650100,650400
1.0302777777777776,650100,653200
7.526944444444445,650100,650500
1.8744444444444444,650100,653100
11.334166666666668,650100,654200
9.968888888888886,650100,
218.76750000000007,650100,
18.918888888888894,650100,659001
3.8822222222222225,650100,652900
3.713333333333332,650100,654300
37.91222222222221,469027,460200
12.41333333333333,469027,469007
0.19277777777777777,469027,469001
3.251388888888887,469027,460400
12.825833333333339,469027,460100
4.360555555555555,511100,
50.48388888888888,511100,511500
323.28861111111115,511100,510100
203.30666666666673,511100,511400
39.086944444444455,511100,510300
3.4144444444444444,511100,500000
10.240277777777775,511100,511800
24.975,360400,361100
179.47694444444446,360400,360100
9.23361111111111,360400,360800
29.96555555555555,360400,360900
8.645277777777782,360400,361000
3.8991666666666673,360400,360500
19.943611111111107,360400,360200
3.417777777777778,360400,360300
9.183888888888893,360400,360700
2.3883333333333328,360400,360600
33.24805555555555,445300,441900
15.9375,445300,442000
146.34888888888892,445300,440600
109.33611111111112,445300,440100
15.409444444444444,445300,440300
82.66333333333338,445300,441200
19.305,445300,440900
0.5380555555555555,445300,441700
32.56499999999998,659004,650100
14.871666666666666,659004,
7.951666666666666,469001,460200
0.9933333333333333,469001,469027
4.1594444444444445,469001,469029
4.547499999999999,469001,460100
0.02055555555555556,469001,469028
1.4875,341600,341500
47.59694444444442,341600,340100
33.695277777777775,341600,341300
33.50722222222223,341600,340600
32.90166666666667,341600,340400
3.7911111111111104,341600,341100
0.3133333333333333,341600,340200
40.87694444444443,341600,340300
140.72944444444448,341600,341200
0.6138888888888887,429004,421200
32.824166666666656,429004,429006
23.474722222222223,429004,420900
1.9522222222222223,429004,420500
0.3655555555555555,429004,
101.75083333333332,429004,420100
22.68944444444443,429004,429005
46.33527777777776,429004,421000
2.8369444444444443,429004,420800
2.915555555555555,230700,230800
0.06,230700,230500
6.080555555555554,230700,230100
0.0763888888888889,230700,230600
0.02416666666666667,230700,231000
5.218333333333334,230700,231200
