from_city_code,to_city_code,real_value
230900,230800,4.77
230900,230500,2.719444444
230900,230100,8.001944444
230900,231000,1.920833333
230900,231200,0.110277778
230900,230300,6.049444444
230900,231100,0.001111111
469006,460200,29.18166667
469006,469029,0.185
469006,460400,5.050277778
469006,469005,4.210277778
469006,460100,21.30277778
469006,469002,20.94361111
469006,469028,21.90611111
460200,469006,21.84888889
460200,460300,0.001111111
460200,469007,10.20972222
460200,469027,38.7675
460200,469001,9.645833333
460200,469029,29.68
460200,460400,7.2875
460200,469005,2.819166667
460200,469026,1.235277778
460200,460100,29.07972222
460200,469023,0.979444444
460200,469030,0.070277778
460200,469002,9.043888889
460200,469028,97.79611111
350400,350700,35.53222222
350400,350200,28.23805556
350400,350900,5.289166667
350400,350500,62.13472222
350400,350600,10.66916667
350400,350100,42.19527778
350400,350300,14.30138889
350400,350800,21.06611111
411200,410300,78.98305556
411200,410100,31.99638889
310000,320100,17.855
310000,320600,347.0888889
310000,340100,5.278888889
310000,330400,619.9363889
310000,330200,74.44944444
310000,340800,1.782222222
310000,320400,35.48833333
310000,320200,167.0725
310000,330100,210.7805556
310000,321200,7.6975
310000,330500,51.20722222
310000,320900,12.04833333
310000,330600,1.681666667
310000,330900,4.190833333
310000,340200,0.802777778
310000,320500,2606.735
361100,360400,32.66583333
361100,360100,108.2383333
361100,360800,8.342777778
361100,360900,16.78111111
361100,361000,46.55888889
361100,360500,3.185555556
361100,360200,100.2927778
361100,360300,3.671111111
361100,360700,13.81388889
361100,330700,18.0925
361100,360600,60.33916667
469007,460200,10.12861111
469007,469027,11.18805556
469007,460400,6.9275
469007,469026,7.620277778
469007,460100,9.873055556
441900,442000,512.9752778
441900,445300,4.257777778
441900,440600,1305.809167
441900,440100,5139.891111
441900,441300,3771.276667
441900,445200,9.293333333
441900,441400,17.65666667
441900,431100,1.173888889
441900,441500,0.681666667
441900,440700,213.0322222
441900,441600,44.32694444
441900,440300,12223.65556
441900,441800,50.69222222
441900,440800,12.31444444
441900,0,1.166111111
441900,440400,169.0544444
441900,441200,94.13138889
441900,440900,55.88083333
441900,430500,1.3275
441900,441700,1.891666667
441900,440200,1.895555556
441900,0,0.506111111
370500,370100,33.98888889
370500,370300,47.44083333
370500,371600,120.4116667
370500,370700,100.6291667
370500,370200,8.489166667
640500,640300,48.83666667
640500,640400,24.80555556
640500,640200,4.835
640500,640100,42.05055556
442000,441900,468.4902778
442000,440600,2102.258611
442000,440100,1529.060278
442000,441300,60.15
442000,440700,921.6441667
442000,440300,407.9297222
442000,440800,1.459444444
442000,0,3.665
442000,440400,2275.77
442000,441200,60.36166667
442000,440900,5.529444444
442000,0,0.138888889
0,620100,33.81361111
0,620500,0.966111111
0,621100,11.66166667
0,620600,0.475277778
0,0,7.786944444
0,620400,1.449444444
0,620900,0.043055556
0,621200,0.110833333
141000,141100,27.47027778
141000,140200,1.875833333
141000,140100,34.54944444
141000,140900,3.738888889
141000,140700,36.06694444
141000,140500,14.68722222
141000,140600,1.055277778
141000,140800,119.2980556
141000,140400,23.86055556
141000,140300,1.401944444
371300,371100,181.7722222
371300,370400,102.0397222
371300,370900,72.67861111
371300,370100,99.105
371300,370800,87.32333333
371300,370300,46.84777778
371300,371600,2.572222222
371300,370700,111.3702778
371300,370600,2.8
371300,371700,24.73222222
371300,370200,86.20083333
530900,530500,7.515
530900,0,8.167222222
530900,0,0.048055556
530900,530100,8.391944444
530900,530800,8.014722222
530900,530400,0.022222222
530900,0,1.166666667
469024,460400,15.94527778
469024,460100,23.75277778
469024,469023,8.777777778
210600,210200,16.57861111
210600,210500,7.914444444
210600,210100,14.24527778
210600,210300,10.08666667
331100,331000,22.97888889
331100,330400,1.236666667
331100,330200,11.10388889
331100,330100,25.64194444
331100,330300,126.0638889
331100,330600,8.1425
331100,330800,20.03611111
331100,330700,82.91805556
530700,530500,0.134166667
530700,0,38.16027778
530700,0,0.023888889
530700,530100,7.335
530700,0,0.301111111
530700,0,10.57194444
150900,150300,0.800833333
150900,152200,0.636944444
150900,150200,16.70805556
150900,150700,0.226666667
150900,150100,70.72972222
150900,150800,4.219444444
150900,150400,4.207222222
150900,150500,1.439722222
150900,150600,9.871111111
150900,152500,14.39472222
150900,152900,0.272777778
150300,150900,0.511111111
150300,150200,1.97
150300,150700,0.000277778
150300,150100,1.893333333
150300,150800,8.446666667
150300,150400,0.019166667
150300,150600,29.82194444
150300,152900,10.6575
650100,659004,47.43138889
650100,0,12.85861111
650100,650200,6.5225
650100,659005,0.030555556
650100,0,3.003333333
650100,650400,19.65083333
650100,653200,1.030277778
650100,650500,7.526944444
650100,653100,1.874444444
650100,654200,11.33416667
650100,0,9.968888889
650100,0,218.7675
650100,659001,18.91888889
650100,652900,3.882222222
650100,654300,3.713333333
469027,460200,37.91222222
469027,469007,12.41333333
469027,469001,0.192777778
469027,460400,3.251388889
469027,460100,12.82583333
511100,0,4.360555556
511100,511500,50.48388889
511100,510100,323.2886111
511100,511400,203.3066667
511100,510300,39.08694444
511100,500000,3.414444444
511100,511800,10.24027778
360400,361100,24.975
360400,360100,179.4769444
360400,360800,9.233611111
360400,360900,29.96555556
360400,361000,8.645277778
360400,360500,3.899166667
360400,360200,19.94361111
360400,360300,3.417777778
360400,360700,9.183888889
360400,360600,2.388333333
445300,441900,33.24805556
445300,442000,15.9375
445300,440600,146.3488889
445300,440100,109.3361111
445300,440300,15.40944444
445300,441200,82.66333333
445300,440900,19.305
445300,441700,0.538055556
659004,650100,32.565
659004,0,14.87166667
469001,460200,7.951666667
469001,469027,0.993333333
469001,469029,4.159444444
469001,460100,4.5475
469001,469028,0.020555556
341600,341500,1.4875
341600,340100,47.59694444
341600,341300,33.69527778
341600,340600,33.50722222
341600,340400,32.90166667
341600,341100,3.791111111
